Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
estação de trabalho 2 lugares,I,14,5,1,0.17,480,3,corporativo.elements.com.br/collections/estacao-de-trabalho-2-lugares,Jul 27
elemnets,NT,4,5,1,0.17,140,39,corporativo.elements.com.br/,Aug 20
siggy,I,20,7,1,0.17,720,26,corporativo.elements.com.br/products/cadeira-ergonomica-elements-siggy,Aug 21
eleents,N,4,6,1,0.17,140,47,corporativo.elements.com.br/,Sep 01
vertta elements,I,26,7,0,< 0.01,110,19,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 13
vertta elements,I,27,7,0,< 0.01,110,19,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 13
vertta elements,I,30,7,0,< 0.01,110,19,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 13
cadeira elements belena,CI,33,7,0,< 0.01,90,22,corporativo.elements.com.br/pages/compare-modelos,2 days
cadeira elements belena,CI,35,7,0,< 0.01,90,22,corporativo.elements.com.br/collections/linha-essencial,2 days
cadeira elements belena,CI,41,7,0,< 0.01,90,22,corporativo.elements.com.br/collections/cadeiras,2 days
cadeira elements belena,CI,44,7,0,< 0.01,90,22,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,2 days
cadeira elements belena,CI,47,7,0,< 0.01,90,22,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,2 days
cadeira elements belena,CI,52,7,0,< 0.01,90,22,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,2 days
cadeira elements belena,CI,60,7,0,< 0.01,90,22,corporativo.elements.com.br/collections/todos-os-produtos,2 days
elemntes,NT,31,7,0,< 0.01,110,41,corporativo.elements.com.br/collections/cadeiras,Sep 04
elemntes,NT,37,7,0,< 0.01,110,41,corporativo.elements.com.br/collections/lancamentos,Sep 04
elemntes,NT,40,7,0,< 0.01,110,41,corporativo.elements.com.br/collections/all,Sep 04
cadeira da elements,CI,25,8,0,< 0.01,90,26,corporativo.elements.com.br/collections/linha-essencial,Sep 05
element cadeiras,N,15,7,0,< 0.01,720,36,corporativo.elements.com.br/collections/cadeiras,Aug 13
elements samaia,I,43,8,0,< 0.01,320,31,corporativo.elements.com.br/pages/compare-modelos,4 days
elements samaia,I,51,8,0,< 0.01,320,31,corporativo.elements.com.br/collections/linha-essencial,4 days
elements samaia,I,54,8,0,< 0.01,320,31,corporativo.elements.com.br/collections/cadeiras,4 days
cadeira elements sophy,I,28,8,0,< 0.01,720,36,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sophy,Aug 30
cadeira elements astra pro,C,,7,0,< 0.01,590,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 13
calena,I,61,8,0,< 0.01,720,36,corporativo.elements.com.br/products/cadeira-ergonomica-elements-calaena,Aug 28
elementsbrasil,N,29,6,0,< 0.01,320,54,corporativo.elements.com.br/pages/compare-modelos,Aug 05
elementsbrasil,N,45,6,0,< 0.01,320,54,corporativo.elements.com.br/,Aug 05
calens,I,59,5,0,< 0.01,210,38,corporativo.elements.com.br/products/cadeira-ergonomica-elements-calaena,Aug 15
astra preta,I,30,10,0,< 0.01,590,20,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Jul 31
astra preta,I,37,10,0,< 0.01,590,20,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Jul 31
elements galatea,I,,8,0,< 0.01,210,21,corporativo.elements.com.br/products/cadeira-ergonomica-elements-galatea,Aug 28
elements galatea,I,,8,0,< 0.01,210,21,corporativo.elements.com.br/products/cadeira-ergonomica-elements-galatea,Aug 28
elements galatea,I,10,8,0,< 0.01,210,21,corporativo.elements.com.br/products/cadeira-ergonomica-elements-galatea,Aug 28
elements galatea,I,19,8,0,< 0.01,210,21,corporativo.elements.com.br/collections/cadeiras,Aug 28
elements pro,IT,21,7,0,< 0.01,140,37,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 28
elements pro,IT,40,7,0,< 0.01,140,37,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 28
elements pro,IT,46,7,0,< 0.01,140,37,corporativo.elements.com.br/,Aug 28
elemenst,N,24,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/cadeiras,Aug 27
elemenst,N,29,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/lancamentos,Aug 27
elemenst,N,35,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/all,Aug 27
elemenst,N,40,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/all,Aug 27
elemenst,N,48,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/lancamentos,Aug 27
elemenst,N,57,6,0,< 0.01,110,43,corporativo.elements.com.br/collections/all,Aug 27
cadeira elements una,I,52,8,0,< 0.01,90,23,corporativo.elements.com.br/collections/cadeiras,Aug 10
cadeira elements una,I,54,8,0,< 0.01,90,23,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,Aug 10
cadeira elements una,I,56,8,0,< 0.01,90,23,corporativo.elements.com.br/collections/linha-avancada,Aug 10
cadeira elements una,I,58,8,0,< 0.01,90,23,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 10
cadeira elements una,I,61,8,0,< 0.01,90,23,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 10
elements mesa,IT,62,6,0,< 0.01,140,16,corporativo.elements.com.br/collections/all,Aug 03
rasala elements,I,46,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/cadeiras,23 hours
rasala elements,I,59,7,0,< 0.01,90,27,corporativo.elements.com.br/pages/compare-modelos,23 hours
rasala elements,I,62,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,23 hours
calaena elements,CI,26,7,0,< 0.01,110,31,corporativo.elements.com.br/collections/todos-os-produtos,1 day
calaena elements,CI,52,7,0,< 0.01,110,31,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,1 day
cadeira elements rasala,CI,49,9,0,< 0.01,260,33,corporativo.elements.com.br/collections/cadeiras,Sep 12
cadeira elements astra,IT,21,8,0,< 0.01,1.9K,35,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 20
cadeira de escritorio ergonômica preta elements astra,I,22,7,0,< 0.01,110,20,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 04
elements olympia,I,70,5,0,< 0.01,390,30,corporativo.elements.com.br/collections/cadeiras,Aug 09
elements olympia,I,80,5,0,< 0.01,390,30,corporativo.elements.com.br/collections/linha-avancada,Aug 09
elements olympia,I,86,5,0,< 0.01,390,30,corporativo.elements.com.br/products/cadeira-ergonomica-elements-alasia,Aug 09
elements brasil,N,22,6,0,< 0.01,1K,46,corporativo.elements.com.br/collections/linha-essencial,Aug 24
elements brasil,N,29,6,0,< 0.01,1K,46,corporativo.elements.com.br/collections/cadeiras-fixas,Aug 24
elements brasil,N,32,6,0,< 0.01,1K,46,corporativo.elements.com.br/collections/all,Aug 24
elements brasil,N,34,6,0,< 0.01,1K,46,corporativo.elements.com.br/collections/lancamentos,Aug 24
elementa,IN,87,7,0,< 0.01,390,45,corporativo.elements.com.br/collections/cadeiras,Aug 07
cadeira ergonômica elements vertta,C,30,8,0,< 0.01,170,18,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Sep 12
cadeira elements vertta,T,31,8,0,< 0.01,390,19,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 09
elements rasala,I,49,7,0,< 0.01,880,32,corporativo.elements.com.br/collections/cadeiras,Sep 06
elements rasala,I,61,7,0,< 0.01,880,32,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Sep 06
elements sophy,I,24,7,0,< 0.01,1.9K,37,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sophy,Aug 25
elements vertra pro,I,39,8,0,< 0.01,480,35,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,3 days
elements vertra pro,I,45,8,0,< 0.01,480,35,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,3 days
cadeira ergonômica elements olympia,C,43,8,0,< 0.01,90,21,corporativo.elements.com.br/collections/cadeiras,Aug 25
elemeents,IN,3,7,0,< 0.01,90,44,corporativo.elements.com.br/,Sep 04
elemeents,IN,23,7,0,< 0.01,90,44,corporativo.elements.com.br/collections/all,Sep 04
elemeents,IN,31,7,0,< 0.01,90,44,corporativo.elements.com.br/collections/cadeiras,Sep 04
elemets,N,22,7,0,< 0.01,390,36,corporativo.elements.com.br/collections/cadeiras,Aug 30
elemets,N,26,7,0,< 0.01,390,36,corporativo.elements.com.br/collections/lancamentos,Aug 30
elemets,N,33,7,0,< 0.01,390,36,corporativo.elements.com.br/collections/all,Aug 30
elements cadeiras,N,16,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/cadeiras-fixas,Aug 21
elements cadeiras,N,18,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/cadeiras-fixas,Aug 21
elements cadeiras,N,22,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/linha-essencial,Aug 21
elements cadeiras,N,27,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas?page=2,Aug 21
elements cadeiras,N,31,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/linha-diretoria,Aug 21
elements cadeiras,N,34,6,0,< 0.01,2.4K,37,corporativo.elements.com.br/collections/lancamentos,Aug 21
centro de tecnologia elements,N,9,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/cadeiras,Aug 14
centro de tecnologia elements,N,15,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/linha-diretoria,Aug 14
centro de tecnologia elements,N,23,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/all,Aug 14
centro de tecnologia elements,N,30,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/lancamentos,Aug 14
centro de tecnologia elements,N,35,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/todos-os-produtos,Aug 14
centro de tecnologia elements,N,37,6,0,< 0.01,110,23,corporativo.elements.com.br/collections/todos-os-produtos,Aug 14
astra pro elements,I,,7,0,< 0.01,260,35,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 07
cadeira astra pro elements,IT,10,4,0,< 0.01,140,24,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 01
elements sarin,I,30,7,0,< 0.01,140,20,corporativo.elements.com.br/collections/cadeiras,Sep 05
elements sarin,I,35,7,0,< 0.01,140,20,corporativo.elements.com.br/pages/compare-modelos,Sep 05
elements sarin,I,64,7,0,< 0.01,140,20,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,Sep 05
element astra pro,I,,7,0,< 0.01,390,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 01
elemnts,N,23,5,0,< 0.01,390,61,corporativo.elements.com.br/collections/cadeiras,Aug 29
elemnts,N,27,5,0,< 0.01,390,61,corporativo.elements.com.br/collections/lancamentos,Aug 29
elemnts,N,32,5,0,< 0.01,390,61,corporativo.elements.com.br/collections/all,Aug 29
elements una,I,33,7,0,< 0.01,390,28,corporativo.elements.com.br/pages/compare-modelos,Aug 09
elements una,I,45,7,0,< 0.01,390,28,corporativo.elements.com.br/collections/cadeiras,Aug 09
elements una,I,61,7,0,< 0.01,390,28,corporativo.elements.com.br/collections/linha-avancada,Aug 09
elements una,I,63,7,0,< 0.01,390,28,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,Aug 09
cadeira elements nemesis,C,55,8,0,< 0.01,170,28,corporativo.elements.com.br/collections/cadeiras,Sep 08
cadeira elements nemesis,C,58,8,0,< 0.01,170,28,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Sep 08
cadeira tania,CI,44,6,0,< 0.01,90,2,corporativo.elements.com.br/collections/linha-essencial,Jul 28
cadeira ergonomica elements,NT,41,7,0,< 0.01,1.6K,29,corporativo.elements.com.br/collections/cadeiras,Aug 21
cadeira ergonomica elements,NT,50,7,0,< 0.01,1.6K,29,corporativo.elements.com.br/collections/linha-essencial,Aug 21
cadeira ergonomica elements,NT,51,7,0,< 0.01,1.6K,29,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Aug 21
cadeira ergonomica elements,NT,53,7,0,< 0.01,1.6K,29,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas?page=2,Aug 21
elementes,N,29,6,0,< 0.01,590,45,corporativo.elements.com.br/collections/cadeiras,Sep 01
elementes,N,34,6,0,< 0.01,590,45,corporativo.elements.com.br/collections/lancamentos,Sep 01
elementes,N,35,6,0,< 0.01,590,45,corporativo.elements.com.br/collections/lancamentos,Sep 01
elementes,N,39,6,0,< 0.01,590,45,corporativo.elements.com.br/collections/all,Sep 01
cadeira serena,I,48,9,0,< 0.01,140,5,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 18
calira elements,CN,16,6,0,< 0.01,210,30,corporativo.elements.com.br/collections/todos-os-produtos,4 days
calira elements,CN,19,6,0,< 0.01,210,30,corporativo.elements.com.br/collections/cadeiras,4 days
calira elements,CN,26,6,0,< 0.01,210,30,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,4 days
elementz,N,51,7,0,< 0.01,210,36,corporativo.elements.com.br/,Aug 18
cadeira elements aiven,C,40,7,0,< 0.01,140,23,corporativo.elements.com.br/collections/cadeiras,Aug 28
elements verta pro,I,34,6,0,< 0.01,390,36,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 18
elements verta pro,I,47,6,0,< 0.01,390,36,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 18
elementz cadeira,CN,31,8,0,< 0.01,210,40,corporativo.elements.com.br/collections/cadeiras,4 days
elementz cadeira,CN,36,8,0,< 0.01,210,40,corporativo.elements.com.br/collections/cadeiras,4 days
elementz cadeira,CN,40,8,0,< 0.01,210,40,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,4 days
gaveteiro elements,I,60,6,0,< 0.01,110,35,corporativo.elements.com.br/collections/all,Aug 06
elements vertta preta,IT,26,6,0,< 0.01,170,21,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 09
elements vertta preta,IT,30,6,0,< 0.01,170,21,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Aug 09
cadeira ergonômica elements albari,I,39,7,0,< 0.01,110,22,corporativo.elements.com.br/pages/compare-modelos,Sep 05
cadeira ergonômica elements albari,I,43,7,0,< 0.01,110,22,corporativo.elements.com.br/collections/linha-essencial,Sep 05
cadeira ergonômica elements albari,I,54,7,0,< 0.01,110,22,corporativo.elements.com.br/collections/cadeiras,Sep 05
cadeira ergonômica elements albari,I,55,7,0,< 0.01,110,22,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Sep 05
cadeira ergonômica elements albari,I,57,7,0,< 0.01,110,22,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Sep 05
cadeira element,N,24,7,0,< 0.01,720,33,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 29
elements verta,I,35,8,0,< 0.01,110,19,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,4 days
element mesa,N,48,6,0,< 0.01,110,27,corporativo.elements.com.br/collections/mesas-com-regulagem-de-altura,Aug 28
element mesa,N,50,6,0,< 0.01,110,27,corporativo.elements.com.br/,Aug 28
element mesa,N,51,6,0,< 0.01,110,27,corporativo.elements.com.br/collections/all,Aug 28
elemtns,N,22,8,0,< 0.01,140,50,corporativo.elements.com.br/collections/cadeiras,Aug 16
elemtns,N,27,8,0,< 0.01,140,50,corporativo.elements.com.br/collections/lancamentos,Aug 16
elemtns,N,31,8,0,< 0.01,140,50,corporativo.elements.com.br/collections/all,Aug 16
elemtns,N,37,8,0,< 0.01,140,50,corporativo.elements.com.br/collections/todos-os-produtos,Aug 16
elements siggy cinza,IT,7,7,0,< 0.01,140,26,corporativo.elements.com.br/products/cadeira-ergonomica-elements-siggy,Aug 27
astra elements pro,I,6,5,0,< 0.01,90,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Aug 31
cadeira ergonômica elements helene special,I,39,7,0,< 0.01,90,25,corporativo.elements.com.br/collections/cadeiras,Aug 28
cadeira ergonômica elements helene special,I,41,7,0,< 0.01,90,25,corporativo.elements.com.br/collections/linha-essencial,Aug 28
elements helene special,IT,52,7,0,< 0.01,320,23,corporativo.elements.com.br/collections/cadeiras,Aug 05
elements helene special,IT,53,7,0,< 0.01,320,23,corporativo.elements.com.br/collections/linha-avancada,Aug 05
elements helene special,IT,55,7,0,< 0.01,320,23,corporativo.elements.com.br/products/cadeira-ergonomica-elements-serena,Aug 05
elemento w,IN,72,5,0,< 0.01,110,28,corporativo.elements.com.br/collections/all,Aug 10
cadeiras elements astra,C,14,8,0,< 0.01,1.3K,33,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Jul 31
cadeira ergonômica elements rasala,C,45,8,0,< 0.01,320,28,corporativo.elements.com.br/pages/compare-modelos,Sep 15
cadeira ergonômica elements rasala,C,50,8,0,< 0.01,320,28,corporativo.elements.com.br/collections/cadeiras,Sep 15
cadeira ergonômica elements rasala,C,51,8,0,< 0.01,320,28,corporativo.elements.com.br/collections/linha-essencial,Sep 15
elementts,IN,19,7,0,< 0.01,90,55,corporativo.elements.com.br/collections/linha-essencial,4 days
elementts,IN,22,7,0,< 0.01,90,55,corporativo.elements.com.br/collections/cadeiras,4 days
elementts,IN,43,7,0,< 0.01,90,55,corporativo.elements.com.br/collections/lancamentos,4 days
elementts,IN,45,7,0,< 0.01,90,55,corporativo.elements.com.br/collections/all,4 days
elements roi,IT,46,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/cadeiras,Aug 16
elements roi,IT,53,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/linha-essencial,Aug 16
elements roi,IT,58,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/linha-essencial,Aug 16
elements roi,IT,66,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/linha-avancada,Aug 16
elements roi,IT,69,7,0,< 0.01,90,27,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 16
elements roi,IT,72,7,0,< 0.01,90,27,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Aug 16
elements albari,I,28,7,0,< 0.01,170,30,corporativo.elements.com.br/pages/compare-modelos,Aug 20
elements albari,I,40,7,0,< 0.01,170,30,corporativo.elements.com.br/pages/compare-modelos,Aug 20
elements albari,I,42,7,0,< 0.01,170,30,corporativo.elements.com.br/collections/linha-essencial,Aug 20
elements albari,I,53,7,0,< 0.01,170,30,corporativo.elements.com.br/collections/cadeiras,Aug 20
elements albari,I,54,7,0,< 0.01,170,30,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 20
elements albari,I,57,7,0,< 0.01,170,30,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,Aug 20
cadeiras elements,NT,20,6,0,< 0.01,1K,29,corporativo.elements.com.br/collections/linha-essencial,Aug 24
elemens,I,40,7,0,< 0.01,140,22,corporativo.elements.com.br/collections/linha-essencial,2 days
elemens,I,85,7,0,< 0.01,140,22,corporativo.elements.com.br/collections/cadeiras,2 days
astra element,I,44,8,0,< 0.01,210,27,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,4 days
astra element,I,65,8,0,< 0.01,210,27,corporativo.elements.com.br/products/cadeira-ergonomica-elements-astra,4 days
cadeira ergonomica astra pro,C,,8,0,< 0.01,140,27,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Sep 12
elementrs,NT,4,5,0,< 0.01,90,52,corporativo.elements.com.br/,Aug 20
elementrs,NT,20,5,0,< 0.01,90,52,corporativo.elements.com.br/collections/lancamentos,Aug 20
elementrs,NT,22,5,0,< 0.01,90,52,corporativo.elements.com.br/collections/cadeiras,Aug 20
elementrs,NT,27,5,0,< 0.01,90,52,corporativo.elements.com.br/collections/lancamentos,Aug 20
elementrs,NT,31,5,0,< 0.01,90,52,corporativo.elements.com.br/collections/all,Aug 20
elementrs,NT,40,5,0,< 0.01,90,52,corporativo.elements.com.br/collections/todos-os-produtos,Aug 20
elements astra cadeira,C,9,7,0,< 0.01,170,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Jul 29
elements astra cadeira,C,22,7,0,< 0.01,170,32,corporativo.elements.com.br/products/cadeira-ergonomica-astra-pro,Jul 29
elementys cadeira,N,10,6,0,< 0.01,140,25,corporativo.elements.com.br/collections/cadeiras,Sep 05
elementys cadeira,N,12,6,0,< 0.01,140,25,corporativo.elements.com.br/collections/linha-essencial,Sep 05
elementys cadeira,N,19,6,0,< 0.01,140,25,corporativo.elements.com.br/collections/cadeiras-fixas,Sep 05
elementys cadeira,N,28,6,0,< 0.01,140,25,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,Sep 05
cadeira escritório ergonômica confortável elements albari,CI,46,7,0,< 0.01,110,27,corporativo.elements.com.br/pages/compare-modelos,2 days
cadeira escritório ergonômica confortável elements albari,CI,48,7,0,< 0.01,110,27,corporativo.elements.com.br/collections/linha-essencial,2 days
cadeira escritório ergonômica confortável elements albari,CI,49,7,0,< 0.01,110,27,corporativo.elements.com.br/collections/cadeiras,2 days
cadeira escritório ergonômica confortável elements albari,CI,50,7,0,< 0.01,110,27,corporativo.elements.com.br/products/cadeira-ergonomica-elements-sarin,2 days
cadeira escritório ergonômica confortável elements albari,CI,51,7,0,< 0.01,110,27,corporativo.elements.com.br/collections/ver-todas-as-cadeiras-ergonomicas,2 days
elements vertta,I,31,9,0,< 0.01,720,22,corporativo.elements.com.br/products/cadeira-ergonomica-elements-vertta-pro,Sep 13
siggy elements,I,10,7,0,< 0.01,260,36,corporativo.elements.com.br/products/cadeira-ergonomica-elements-siggy,Sep 03
siggy elements,I,44,7,0,< 0.01,260,36,corporativo.elements.com.br/collections/cadeiras,Sep 03
eleements,N,28,7,0,< 0.01,140,52,corporativo.elements.com.br/collections/cadeiras,Sep 08
eleements,N,35,7,0,< 0.01,140,52,corporativo.elements.com.br/collections/lancamentos,Sep 08
eleements,N,42,7,0,< 0.01,140,52,corporativo.elements.com.br/collections/all,Sep 08
cadeira elements olympia,IT,52,7,0,< 0.01,260,32,corporativo.elements.com.br/collections/cadeiras,Aug 13
cadeira elements olympia,IT,56,7,0,< 0.01,260,32,corporativo.elements.com.br/products/cadeira-ergonomica-elements-alasia,Aug 13
