Select all keywords,Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (BRL),Com.,SF,Results,Updated
cadeira madeira,cadeira madeira​,C,60,0,"6,600",,n/a,n/a,9,0.83,1.00,6,194,1 month
cadeira para cozinha,cadeira para cozinha​,IT,53,0,"6,600",,n/a,n/a,20,0.41,1.00,8,196,1 month
cadeira presidente escritorio,cadeira presidente escritorio​,C,59,0,"6,600",,n/a,n/a,35,1.19,1.00,7,192,1 month
cadeira sala de jantar,cadeira sala de jantar​,IT,57,0,"6,600",,n/a,n/a,10,0.57,1.00,7,195,1 month
mesa de apoio,mesa de apoio​,I,43,0,"6,600",,n/a,n/a,13,0.73,1.00,9,197,1 month
mesinha de centro,mesinha de centro​,I,47,0,"6,600",,n/a,n/a,22,0.62,1.00,7,198,1 month
cadeira allegra preta,cadeira allegra preta​,I,51,0,"5,400",,n/a,n/a,23,0.57,1.00,5,10,1 month
cadeira de escritório simples,cadeira de escritório simples​,I,60,0,"5,400",,n/a,n/a,24,0.73,1.00,5,194,1 month
cadeira estofada,cadeira estofada​,IC,57,0,"5,400",,n/a,n/a,20,0.67,1.00,5,196,1 month
cadeira giratória,cadeira giratória​,C,60,0,"5,400",,n/a,n/a,20,0.98,1.00,7,194,1 month
cadeira para escritorio ergonomica,cadeira para escritorio ergonomica​,I,63,0,"5,400",,n/a,n/a,32,1.55,1.00,7,188,1 month
cadeira para escritório,cadeira para escritório​,C,64,0,"5,400",,n/a,n/a,28,1.30,1.00,6,161,1 month
cadeira para quarto,cadeira para quarto​,IT,54,0,"5,400",,n/a,n/a,27,0.41,1.00,6,8,1 month
cadeira para varanda,cadeira para varanda​,I,54,0,"5,400",,n/a,n/a,25,0.47,1.00,8,197,1 month
cadeira poltrona,cadeira poltrona​,C,64,0,"5,400",,n/a,n/a,21,0.78,1.00,5,203,1 month
cadeira preta,cadeira preta​,I,57,0,"5,400",,n/a,n/a,16,0.88,1.00,6,165,1 month
cadeira varanda,cadeira varanda​,I,62,0,"5,400",,n/a,n/a,23,0.47,1.00,5,8,1 month
cadeiras de madeira,cadeiras de madeira​,I,57,0,"5,400",,n/a,n/a,15,0.52,1.00,5,15.2M,1 month
cadeiras de sala jantar,cadeiras de sala jantar​,IC,54,0,"5,400",,n/a,n/a,11,0.57,1.00,5,198,1 month
poltronas para sala de estar,poltronas para sala de estar​,I,51,0,"5,400",,n/a,n/a,21,0.47,1.00,7,196,1 month
cabideiro de madeira,cabideiro de madeira​,I,51,0,"4,400",,n/a,n/a,27,0.36,1.00,8,199,1 month
cadeira alegra,cadeira alegra​,IT,54,0,"4,400",,n/a,n/a,17,0.57,1.00,7,193,1 month
cadeira branca,cadeira branca​,I,64,0,"4,400",,n/a,n/a,15,0.83,1.00,6,194,1 month
cadeira cesca,cadeira cesca​,IC,59,0,"4,400",,n/a,n/a,14,1.04,1.00,7,188,1 month
cadeira computador,cadeira computador​,C,62,0,"4,400",,n/a,n/a,23,0.57,1.00,7,201,1 month
cadeira de area,cadeira de area​,IC,54,0,"4,400",,n/a,n/a,24,0.31,1.00,6,199,1 month
cadeira de escritório presidente,cadeira de escritório presidente​,C,55,0,"4,400",,n/a,n/a,28,1.19,1.00,6,193,1 month
cadeira de madeira maciça,cadeira de madeira maciça​,C,55,0,"4,400",,n/a,n/a,15,0.47,1.00,5,122,1 month
cadeira de mesa de jantar,cadeira de mesa de jantar​,IT,56,0,"4,400",,n/a,n/a,12,0.47,1.00,7,198,1 month
cadeira de varanda,cadeira de varanda​,I,56,0,"4,400",,n/a,n/a,25,0.41,1.00,7,195,1 month
cadeira diretor,cadeira diretor​,IC,63,0,"4,400",,n/a,n/a,12,1.50,1.00,6,198,1 month
cadeira escritorio branca,cadeira escritorio branca​,IT,62,0,"4,400",,n/a,n/a,21,1.09,1.00,6,162,1 month
cadeira escrivaninha,cadeira escrivaninha​,I,59,0,"4,400",,n/a,n/a,25,0.47,1.00,6,208,1 month
cadeira game,cadeira game​,C,61,0,"4,400",,n/a,n/a,36,0.93,1.00,7,192,1 month
cadeira gruvyer,cadeira gruvyer​,C,53,0,"4,400",,n/a,n/a,17,0.52,1.00,7,194,1 month
cadeira madeira maciça,cadeira madeira maciça​,IC,56,0,"4,400",,n/a,n/a,16,0.67,1.00,8,194,1 month
cadeira para computador,cadeira para computador​,I,59,0,"4,400",,n/a,n/a,27,0.57,1.00,6,196,1 month
cadeira para estudo,cadeira para estudo​,I,61,0,"4,400",,n/a,n/a,22,0.47,1.00,8,201,1 month
cadeira para sala,cadeira para sala​,I,58,0,"4,400",,n/a,n/a,21,0.36,1.00,5,150,1 month
cadeiras para area externa,cadeiras para area externa​,IC,50,0,"4,400",,n/a,n/a,21,0.57,1.00,5,8,1 month
cadeiras para escritorio,cadeiras para escritorio​,C,62,0,"4,400",,n/a,n/a,29,1.30,1.00,8,166,1 month
cadeiras para varanda,cadeiras para varanda​,I,50,0,"4,400",,n/a,n/a,25,0.47,1.00,7,190,1 month
mesa para centro de sala,mesa para centro de sala​,I,44,0,"4,400",,n/a,n/a,21,0.47,1.00,7,191,1 month
poltrona cadeira,poltrona cadeira​,C,66,0,"4,400",,n/a,n/a,20,0.83,1.00,7,216,1 month
poltrona giratória,poltrona giratória​,I,51,0,"4,400",,n/a,n/a,16,0.62,1.00,6,193,1 month
poltrona quarto,poltrona quarto​,I,50,0,"4,400",,n/a,n/a,23,0.41,1.00,8,194,1 month
poltrona sala de estar,poltrona sala de estar​,C,51,0,"4,400",,n/a,n/a,24,0.52,1.00,8,196,1 month
cabideiro de chao,cabideiro de chao​,C,49,0,"3,600",,n/a,n/a,22,0.36,1.00,8,206,1 month
cadeira confortável,cadeira confortável​,I,59,0,"3,600",,n/a,n/a,31,0.57,1.00,8,194,1 month
cadeira de cozinha,cadeira de cozinha​,I,54,0,"3,600",,n/a,n/a,25,0.41,1.00,6,10,1 month
cadeira do presidente,cadeira do presidente​,I,54,0,"3,600",,n/a,n/a,9,1.04,1.00,8,193,1 month
cadeira ergonômica para coluna,cadeira ergonômica para coluna​,C,52,0,"3,600",,n/a,n/a,14,0.00,0.00,8,177,1 month
cadeira escritorio presidente,cadeira escritorio presidente​,I,58,0,"3,600",,n/a,n/a,10,1.19,1.00,9,194,1 month
cadeira escritório simples,cadeira escritório simples​,I,59,0,"3,600",,n/a,n/a,22,0.83,1.00,5,198,1 month
cadeira executiva,cadeira executiva​,I,55,0,"3,600",,n/a,n/a,9,1.35,1.00,5,10,1 month
cadeira giratória escritório,cadeira giratória escritório​,I,59,0,"3,600",,n/a,n/a,21,1.14,1.00,7,158,1 month
cadeira giratória para escritório,cadeira giratória para escritório​,I,58,0,"3,600",,n/a,n/a,16,1.14,1.00,5,n/a,1 month
cadeira home office,cadeira home office​,C,63,0,"3,600",,n/a,n/a,27,0.78,1.00,7,195,1 month
cadeira ortopédica,cadeira ortopédica​,C,64,0,"3,600",,n/a,n/a,21,0.00,0.00,6,176,1 month
cadeira para area externa,cadeira para area externa​,C,52,0,"3,600",,n/a,n/a,28,0.62,1.00,6,201,1 month
cadeira para escritorio presidente,cadeira para escritorio presidente​,C,55,0,"3,600",,n/a,n/a,19,1.19,1.00,9,194,1 month
cadeira quarto,cadeira quarto​,I,56,0,"3,600",,n/a,n/a,25,0.36,1.00,6,180,1 month
cadeira recepção,cadeira recepção​,C,54,0,"3,600",,n/a,n/a,13,1.04,1.00,6,181,1 month
cadeira rosa,cadeira rosa​,C,53,0,"3,600",,n/a,n/a,20,12.08,1.00,7,193,1 month
cadeira secretaria,cadeira secretaria​,C,60,0,"3,600",,n/a,n/a,21,1.40,1.00,5,158,1 month
cadeiras ergonomicas,cadeiras ergonomicas​,C,63,0,"3,600",,n/a,n/a,20,0.98,1.00,6,186,1 month
cadeiras mesa de jantar,cadeiras mesa de jantar​,I,56,0,"3,600",,n/a,n/a,13,0.47,1.00,7,207,1 month
cadeiras na sala de estar,cadeiras na sala de estar​,IC,52,0,"3,600",,n/a,n/a,20,0.47,1.00,7,190,1 month
cadeiras para gamers,cadeiras para gamers​,IC,54,0,"3,600",,n/a,n/a,37,0.93,1.00,7,197,1 month
cadeiras para sala,cadeiras para sala​,I,58,0,"3,600",,n/a,n/a,19,0.36,1.00,8,196,1 month
dt3 cadeiras,dt3 cadeiras​,TN,50,0,"3,600",,n/a,n/a,41,0.47,1.00,7,233,1 month
ergonômica,ergonômica​,I,41,0,"3,600",,n/a,n/a,17,1.55,0.05,8,182,1 month
mesa de apoio lateral,mesa de apoio lateral​,I,45,0,"3,600",,n/a,n/a,7,0.73,1.00,7,199,1 month
mesa lateral para sala,mesa lateral para sala​,I,49,0,"3,600",,n/a,n/a,20,0.57,1.00,7,198,1 month
poltrona confortável,poltrona confortável​,I,52,0,"3,600",,n/a,n/a,20,0.83,1.00,8,194,1 month
poltrona escritorio,poltrona escritorio​,C,54,0,"3,600",,n/a,n/a,27,1.19,1.00,6,10,1 month
poltronas confortáveis,poltronas confortáveis​,I,46,0,"3,600",,n/a,n/a,21,0.93,1.00,7,192,1 month
poltronas decorativas,poltronas decorativas​,I,45,0,"3,600",,n/a,n/a,19,0.52,1.00,8,196,1 month
cabideiro mancebo,cabideiro mancebo​,I,46,0,"2,900",,n/a,n/a,25,0.41,1.00,7,207,1 month
cadeira alta,cadeira alta​,C,63,0,"2,900",,n/a,n/a,23,0.62,1.00,7,214,1 month
cadeira branca escritorio,cadeira branca escritorio​,IT,58,0,"2,900",,n/a,n/a,19,0.98,1.00,6,180,1 month
cadeira de computador,cadeira de computador​,C,59,0,"2,900",,n/a,n/a,28,0.57,1.00,6,197,1 month
cadeira de escritorio branca,cadeira de escritorio branca​,IC,60,0,"2,900",,n/a,n/a,24,0.88,1.00,5,154,1 month
cadeira de escritorio simples,cadeira de escritorio simples​,I,59,0,"2,900",,n/a,n/a,24,0.73,1.00,6,201,1 month
cadeira de estudo,cadeira de estudo​,C,61,0,"2,900",,n/a,n/a,23,0.47,1.00,7,202,1 month
cadeira de gamer,cadeira de gamer​,C,55,0,"2,900",,n/a,n/a,36,0.47,1.00,7,195,1 month
cadeira de jardim,cadeira de jardim​,I,51,0,"2,900",,n/a,n/a,21,0.52,1.00,5,184,1 month
cadeira ergometrica,cadeira ergometrica​,I,61,0,"2,900",,n/a,n/a,25,1.14,1.00,7,187,1 month
cadeira ergonomica home office,cadeira ergonomica home office​,I,59,0,"2,900",,n/a,n/a,21,1.24,1.00,8,194,1 month
cadeira ergonomica presidente,cadeira ergonomica presidente​,I,60,0,"2,900",,n/a,n/a,19,1.09,1.00,8,189,1 month
cadeira ergonômica gamer,cadeira ergonômica gamer​,C,52,0,"2,900",,n/a,n/a,24,0.62,1.00,8,183,1 month
cadeira gamer branca,cadeira gamer branca​,I,56,0,"2,900",,n/a,n/a,21,0.47,1.00,7,181,1 month
cadeira office,cadeira office​,C,71,0,"2,900",,n/a,n/a,21,1.35,1.00,7,192,1 month
cadeira para mesa,cadeira para mesa​,I,64,0,"2,900",,n/a,n/a,15,0.36,1.00,6,194,1 month
cadeira para sala de jantar,cadeira para sala de jantar​,I,57,0,"2,900",,n/a,n/a,11,0.47,1.00,8,192,1 month
cadeira pra jogar por horas,cadeira pra jogar por horas​,IC,53,0,"2,900",,n/a,n/a,35,0.00,1.00,5,183,1 month
cadeira presidente ergonômica,cadeira presidente ergonômica​,C,61,0,"2,900",,n/a,n/a,24,1.09,1.00,8,166,1 month
cadeira simples de escritorio,cadeira simples de escritorio​,IC,59,0,"2,900",,n/a,n/a,27,0.73,1.00,7,208,1 month
cadeiras e poltronas,cadeiras e poltronas​,T,56,0,"2,900",,n/a,n/a,16,0.83,1.00,8,195,1 month
cadeiras em madeira,cadeiras em madeira​,I,55,0,"2,900",,n/a,n/a,17,0.83,1.00,6,192,1 month
cadeiras gamer,cadeiras gamer​,C,55,0,"2,900",,n/a,n/a,27,0.93,1.00,6,188,1 month
centro de sala,centro de sala​,I,45,0,"2,900",,n/a,n/a,24,0.31,1.00,8,191,1 month
centros de salas,centros de salas​,IC,41,0,"2,900",,n/a,n/a,23,0.31,1.00,7,179,1 month
mancebo cabideiro,mancebo cabideiro​,IC,49,0,"2,900",,n/a,n/a,25,0.41,1.00,8,206,1 month
mesa de canto para quarto,mesa de canto para quarto​,I,44,0,"2,900",,n/a,n/a,26,0.41,1.00,8,199,1 month
mesinha de canto para sala,mesinha de canto para sala​,I,47,0,"2,900",,n/a,n/a,24,0.31,1.00,7,194,1 month
mesinhas para canto de sala,mesinhas para canto de sala​,I,45,0,"2,900",,n/a,n/a,18,0.21,1.00,7,222,1 month
poltrona confortável para sala,poltrona confortável para sala​,I,51,0,"2,900",,n/a,n/a,24,0.57,1.00,7,194,1 month
poltrona giratoria,poltrona giratoria​,IC,49,0,"2,900",,n/a,n/a,20,1.04,1.00,7,194,1 month
poltronas para sala de tv,poltronas para sala de tv​,I,40,0,"2,900",,n/a,n/a,23,0.47,1.00,8,189,1 month
cabideiros de madeira,cabideiros de madeira​,I,51,0,"2,400",,n/a,n/a,18,0.36,1.00,7,195,1 month
cadeira balcao,cadeira balcao​,I,57,0,"2,400",,n/a,n/a,25,0.31,1.00,5,218,1 month
cadeira bancada,cadeira bancada​,IT,56,0,"2,400",,n/a,n/a,22,0.41,1.00,6,224,1 month
cadeira confortavel,cadeira confortavel​,I,63,0,"2,400",,n/a,n/a,33,0.62,1.00,7,208,1 month
cadeira consultorio,cadeira consultorio​,C,60,0,"2,400",,n/a,n/a,26,1.09,1.00,6,155,1 month
cadeira de area externa,cadeira de area externa​,IC,55,0,"2,400",,n/a,n/a,21,0.41,1.00,7,192,1 month
cadeira de escritorio presidente,cadeira de escritorio presidente​,IT,58,0,"2,400",,n/a,n/a,16,1.14,1.00,9,191,1 month
cadeira de estudos,cadeira de estudos​,I,57,0,"2,400",,n/a,n/a,25,0.47,1.00,6,224,1 month
cadeira em madeira maciça,cadeira em madeira maciça​,I,57,0,"2,400",,n/a,n/a,13,0.67,1.00,7,193,1 month
cadeira ergométrica,cadeira ergométrica​,C,62,0,"2,400",,n/a,n/a,25,1.14,1.00,8,184,1 month
cadeira estudo,cadeira estudo​,I,58,0,"2,400",,n/a,n/a,25,0.47,1.00,8,212,1 month
cadeira estudos,cadeira estudos​,C,57,0,"2,400",,n/a,n/a,25,0.47,1.00,7,212,1 month
cadeira gamer tecido,cadeira gamer tecido​,T,55,0,"2,400",,n/a,n/a,22,0.47,1.00,8,184,1 month
cadeira jardim,cadeira jardim​,I,52,0,"2,400",,n/a,n/a,22,0.57,1.00,6,185,1 month
cadeira para bancada,cadeira para bancada​,IC,54,0,"2,400",,n/a,n/a,27,0.41,1.00,7,243,1 month
cadeira para escritorio simples,cadeira para escritorio simples​,IC,60,0,"2,400",,n/a,n/a,25,0.78,1.00,7,216,1 month
cadeira para gamer barata,cadeira para gamer barata​,C,52,0,"2,400",,n/a,n/a,39,0.31,1.00,3,10,1 month
cadeira pc,cadeira pc​,C,65,0,"2,400",,n/a,n/a,34,0.47,1.00,7,191,1 month
cadeira sala de estar,cadeira sala de estar​,IC,62,0,"2,400",,n/a,n/a,18,0.47,1.00,7,203,1 month
cadeira transparente,cadeira transparente​,I,50,0,"2,400",,n/a,n/a,16,0.47,1.00,6,181,1 month
cadeiras allegra preta,cadeiras allegra preta​,I,50,0,"2,400",,n/a,n/a,24,0.57,1.00,8,195,1 month
cadeiras de escritório,cadeiras de escritório​,C,57,0,"2,400",,n/a,n/a,26,1.19,1.00,5,168,1 month
cadeiras para escritório,cadeiras para escritório​,C,61,0,"2,400",,n/a,n/a,24,1.30,1.00,6,10.3M,1 month
cadeiras para games,cadeiras para games​,C,52,0,"2,400",,n/a,n/a,30,0.67,1.00,8,183,1 month
cadeiras para mesa,cadeiras para mesa​,C,60,0,"2,400",,n/a,n/a,23,0.36,1.00,7,195,1 month
cadeiras sala de jantar,cadeiras sala de jantar​,I,55,0,"2,400",,n/a,n/a,10,0.57,1.00,6,197,1 month
dazz dazz,dazz dazz​,T,36,0,"2,400",,n/a,n/a,20,0.47,0.20,7,196,1 month
kit 4 banquetas para cozinha americana,kit 4 banquetas para cozinha americana​,C,38,0,"2,400",,n/a,n/a,25,0.31,1.00,7,205,1 month
mesa centro sala,mesa centro sala​,I,46,0,"2,400",,n/a,n/a,16,0.57,1.00,7,194,1 month
mesa de canto quarto,mesa de canto quarto​,IC,44,0,"2,400",,n/a,n/a,27,0.41,1.00,8,163,1 month
mesa de centro sala,mesa de centro sala​,I,46,0,"2,400",,n/a,n/a,20,0.57,1.00,7,193M,1 month
mesa para centro da sala,mesa para centro da sala​,IC,49,0,"2,400",,n/a,n/a,19,0.57,1.00,7,179,1 month
mesas de centro para sala,mesas de centro para sala​,IC,46,0,"2,400",,n/a,n/a,29,0.47,1.00,6,199,1 month
mesinha de centro para sala,mesinha de centro para sala​,C,44,0,"2,400",,n/a,n/a,26,0.31,1.00,7,198,1 month
pequenas poltronas,pequenas poltronas​,C,48,0,"2,400",,n/a,n/a,28,0.52,1.00,6,191,1 month
poltrona conforto,poltrona conforto​,I,46,0,"2,400",,n/a,n/a,26,0.83,1.00,7,191,1 month
poltrona decorativa para sala,poltrona decorativa para sala​,IC,47,0,"2,400",,n/a,n/a,22,0.41,1.00,7,193,1 month
poltrona giratória para sala,poltrona giratória para sala​,IC,47,0,"2,400",,n/a,n/a,28,0.52,1.00,8,194,1 month
poltrona no quarto,poltrona no quarto​,C,50,0,"2,400",,n/a,n/a,25,0.41,1.00,8,190,1 month
poltrona para escritorio,poltrona para escritorio​,C,56,0,"2,400",,n/a,n/a,15,0.98,1.00,6,188,1 month
poltrona para sala confortável,poltrona para sala confortável​,C,50,0,"2,400",,n/a,n/a,24,0.57,1.00,8,185,1 month
poltronas confortaveis para sala,poltronas confortaveis para sala​,IC,49,0,"2,400",,n/a,n/a,21,0.57,1.00,10,198,1 month
poltronas decorativa sala,poltronas decorativa sala​,C,46,0,"2,400",,n/a,n/a,17,0.41,1.00,5,198,1 month
poltronas para escritorio,poltronas para escritorio​,I,51,0,"2,400",,n/a,n/a,15,0.98,1.00,6,177,1 month
poltronas para sala de estar modernas,poltronas para sala de estar modernas​,I,51,0,"2,400",,n/a,n/a,24,0.57,1.00,8,188,1 month
poltronas sala,poltronas sala​,C,52,0,"2,400",,n/a,n/a,22,0.46,1.00,7,188,1 month
cadeira acolchoada,cadeira acolchoada​,I,63,0,"1,900",,n/a,n/a,21,0.57,1.00,7,196,1 month
cadeira allegra tramontina,cadeira allegra tramontina​,I,54,0,"1,900",,n/a,n/a,23,0.41,1.00,7,174,1 month
cadeira branca de escritorio,cadeira branca de escritorio​,I,56,0,"1,900",,n/a,n/a,19,0.88,1.00,6,213,1 month
cadeira com braço,cadeira com braço​,I,65,0,"1,900",,n/a,n/a,15,0.72,1.00,5,193,1 month
cadeira de,cadeira de​,T,57,0,"1,900",,n/a,n/a,17,1.19,0.99,7,199,1 month
cadeira de mesa,cadeira de mesa​,C,64,0,"1,900",,n/a,n/a,15,0.46,1.00,6,191,1 month
cadeira decorativa,cadeira decorativa​,C,53,0,"1,900",,n/a,n/a,14,0.36,1.00,7,193,1 month
cadeira ergonomica escritorio,cadeira ergonomica escritorio​,C,62,0,"1,900",,n/a,n/a,21,1.55,1.00,7,188,1 month
cadeira escritorio ergonomica,cadeira escritorio ergonomica​,I,61,0,"1,900",,n/a,n/a,22,1.55,1.00,6,187,1 month
cadeira escritorio fixa,cadeira escritorio fixa​,C,55,0,"1,900",,n/a,n/a,7,1.39,1.00,6,575K,1 month
cadeira escritorio simples,cadeira escritorio simples​,I,61,0,"1,900",,n/a,n/a,20,0.77,1.00,7,196,1 month
cadeira fixa escritorio,cadeira fixa escritorio​,I,53,0,"1,900",,n/a,n/a,9,1.39,1.00,6,193,1 month
cadeira gamer preta,cadeira gamer preta​,IC,55,0,"1,900",,n/a,n/a,32,0.52,1.00,7,191,1 month
cadeira mesa jantar,cadeira mesa jantar​,I,59,0,"1,900",,n/a,n/a,11,0.77,1.00,7,201,1 month
cadeira para balcão,cadeira para balcão​,C,56,0,"1,900",,n/a,n/a,29,0.31,1.00,7,213,1 month
cadeira para escritorio fixa,cadeira para escritorio fixa​,I,57,0,"1,900",,n/a,n/a,7,1.39,1.00,5,190,1 month
cadeira para gamer,cadeira para gamer​,C,53,0,"1,900",,n/a,n/a,34,0.67,1.00,7,185,1 month
cadeira para mesa de cozinha,cadeira para mesa de cozinha​,C,54,0,"1,900",,n/a,n/a,21,0.31,1.00,7,216,1 month
cadeira para pc,cadeira para pc​,C,62,0,"1,900",,n/a,n/a,33,0.46,1.00,7,186,1 month
cadeira para sala de estar,cadeira para sala de estar​,I,57,0,"1,900",,n/a,n/a,19,0.46,1.00,8,215,1 month
cadeira para secretaria,cadeira para secretaria​,IC,59,0,"1,900",,n/a,n/a,24,1.39,1.00,7,198,1 month
cadeira presidente escritório,cadeira presidente escritório​,I,62,0,"1,900",,n/a,n/a,12,1.19,1.00,7,186,1 month
cadeira simples escritorio,cadeira simples escritorio​,IC,60,0,"1,900",,n/a,n/a,18,0.77,1.00,6,194,1 month
cadeira verde,cadeira verde​,I,62,0,"1,900",,n/a,n/a,19,0.93,1.00,7,174,1 month
cadeiras allegra,cadeiras allegra​,I,54,0,"1,900",,n/a,n/a,22,0.62,1.00,6,183,1 month
cadeiras branca,cadeiras branca​,I,51,0,"1,900",,n/a,n/a,20,0.82,1.00,6,226,1 month
