Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
sofa flexform,NT,1,6,208,0.12,260,22,www.flexform.com.br/moveis/sala/sofas,Aug 31
escritorio mesa,I,1,5,196,0.12,2.4K,22,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Aug 21
cadeiras para escritório,T,1,7,196,0.12,2.4K,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 20
cadeira para estudo,CI,2,9,193,0.12,4.4K,27,www.flexform.com.br/,Sep 13
c h a i r,I,1,7,193,0.12,4.4K,15,www.flexform.com.br/,Sep 14
sofá cama 2 lugares,I,3,8,188,0.11,9.9K,21,www.flexform.com.br/moveis/sala/sofas/sofa-2-lugares-vittoria,4 days
cadeira de estudo,CI,2,9,188,0.11,2.9K,25,www.flexform.com.br/,Sep 14
cadeira flexform,NT,2,8,181,0.11,18.1K,31,www.flexform.com.br/,Sep 13
cadeira gamer barata,C,,8,173,0.10,9.9K,31,www.flexform.com.br/gaming/neymar-jr,Sep 15
cadeira de escritorio sem braço,C,1,7,171,0.10,1.3K,10,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 20
cadeira escritório confortável,C,1,7,171,0.10,1.3K,23,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 21
flexform trabalhe conosco,T,1,3,168,0.10,210,25,www.flexform.com.br/institucional/trabalhe-conosco,Aug 25
mesa flexform,NT,1,11,168,0.10,210,20,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Aug 12
cadeira flexform my chair,N,1,8,168,0.10,210,34,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/my-chair-all-black,Aug 26
cadeira flextropic flexform,I,1,9,168,0.10,210,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/flextropic,3 days
cadeira doty flexform,I,1,10,168,0.10,210,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Aug 27
flexform sofa,NT,1,7,168,0.10,210,20,www.flexform.com.br/moveis/sala/sofas,Aug 31
cadeira flexform dot,IT,1,8,168,0.10,210,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Aug 15
cadeiras de escritorio flexform,IT,1,6,168,0.10,210,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 02
the white lotus,IT,10,8,165,0.10,33.1K,51,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-pro-white-n-champagne,21 hours
cadeira,I,14,6,165,0.10,110K,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 15
flexform,N,,8,165,0.10,49.5K,46,www.flexform.com.br/,Sep 14
what is a rattan chair,I,18,7,165,0.10,110K,33,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-my-chair-bege,2 days
cadeira escritorio confortavel,CI,2,8,158,0.09,6.6K,37,www.flexform.com.br/,4 days
cadeira para secretaria,I,1,7,155,0.09,1.9K,24,www.flexform.com.br/,Aug 23
cadeira escritorio ergonomica,I,1,7,155,0.09,1.9K,27,www.flexform.com.br/,Aug 07
loja de cadeiras de escritorio,C,2,7,155,0.09,1.9K,34,www.flexform.com.br/,Aug 24
cadeira escritorio simples,I,1,6,155,0.09,1.9K,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 23
cadeira pc,I,2,6,155,0.09,1.9K,34,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 25
cadeira ergonomica escritorio,C,2,9,155,0.09,1.9K,21,www.flexform.com.br/,Aug 20
cadeira para escritorio fixa,I,1,8,155,0.09,1.9K,17,www.flexform.com.br/cadeiras/cadeiras-fixas,Aug 25
carregador inducao,CI,3,8,154,0.09,4.4K,26,www.flexform.com.br/decoracao-e-acessorios/carregador-de-inducao/product-one,Sep 13
mesa regulagem de altura,CI,6,8,153,0.09,8.1K,18,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio/mesa-tech-120-desk-regulagem-eletrica,Sep 15
mesa com regulagem de altura,I,6,8,153,0.09,8.1K,23,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio/mesa-tech-120-desk-regulagem-eletrica,Sep 13
cadeira uni all black,I,1,9,146,0.09,590,24,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Jul 27
uni flexform,I,1,7,136,0.08,170,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Jul 28
cadeira my chair,IT,1,10,136,0.08,170,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/my-chair-all-black,Jul 30
flex form cadeira,C,1,8,136,0.08,170,33,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 14
cadeira flexform flextropic,I,1,8,136,0.08,170,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/flextropic,Sep 03
cadeira my chair flexform,IT,1,8,136,0.08,170,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-my-chair-platinum-grey,Sep 02
cadeira uni all black flexform,I,1,8,136,0.08,170,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Aug 27
flexform lite,C,1,8,136,0.08,170,17,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-lite,Aug 06
cadeira game,CI,2,7,132,0.08,4.4K,36,www.flexform.com.br/gaming,Sep 13
sofa modulares,C,1,7,132,0.08,1K,12,www.flexform.com.br/moveis/sala/sofas-modulares,Aug 10
cadeiras ergonomicas de escritorio,I,1,7,132,0.08,1K,26,www.flexform.com.br/,Aug 22
cadeira escritorio fixa,I,1,7,131,0.08,1.6K,9,www.flexform.com.br/cadeiras/cadeiras-fixas,Aug 20
flexform,N,,8,131,0.08,49.5K,46,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Sep 14
cadeiras de escritório ergonômicas,C,2,7,131,0.08,1.6K,30,www.flexform.com.br/,Aug 19
sofá curvo,I,1,10,131,0.08,1.6K,15,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-c1,Aug 20
flex forming,I,1,7,127,0.07,2.9K,30,www.flexform.com.br/,Aug 20
cadeira simples de escritorio,CI,1,7,127,0.07,2.9K,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Jul 28
cadeira giratória escritório,I,3,7,126,0.07,3.6K,22,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 13
cadeira ergonomica gamer,CI,4,8,125,0.07,6.6K,22,www.flexform.com.br/gaming,3 days
sofá modular,T,3,9,125,0.07,6.6K,16,www.flexform.com.br/moveis/sala/sofas/sofa-agora-1-branco,4 days
cadeira fixa escritorio,I,1,7,123,0.07,1.9K,10,www.flexform.com.br/cadeiras/cadeiras-fixas,Aug 22
cadeira de,CI,1,7,123,0.07,1.9K,17,www.flexform.com.br/,Aug 23
mesa para escritório,T,6,7,118,0.07,5.4K,20,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Sep 15
cadeira estudos confortavel,CI,1,10,116,0.07,880,23,www.flexform.com.br/,Sep 11
loja de cadeira,C,1,8,116,0.07,880,34,www.flexform.com.br/,Aug 26
cadeira coral,I,1,8,116,0.07,880,13,www.flexform.com.br/cadeiras/cadeiras-fixas/cadeira-coral-grey,Aug 28
flex form,IN,1,9,114,0.07,4.4K,42,www.flexform.com.br/,Sep 14
cadeira flexform gamer,IT,1,9,112,0.06,140,19,www.flexform.com.br/gaming/cadeiras-gaming,Sep 14
flexiform,N,1,6,112,0.06,140,39,www.flexform.com.br/,Sep 03
flexform cadeiras para escritorio,IT,1,7,112,0.06,140,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 27
cadeira flexform uni all black,I,1,9,112,0.06,140,28,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,Aug 12
loja flexform,N,1,8,112,0.06,140,26,www.flexform.com.br/institucional/onde-comprar,Aug 04
dot flexform,I,1,8,112,0.06,140,33,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Sep 07
cadeira tecton flexform,IT,1,7,112,0.06,140,22,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-tecton-all-black-unique,Jul 31
flexfomr,N,1,7,112,0.06,140,39,www.flexform.com.br/,Aug 29
cadeira lite flexform,C,1,8,112,0.06,140,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-lite,Aug 08
flexforma,N,1,5,112,0.06,140,39,www.flexform.com.br/,Aug 14
cadeira flexform tecton,IT,1,9,112,0.06,140,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-tecton-all-black,Aug 29
cadeiras de escritório flexform,IT,1,8,112,0.06,140,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
cadeira confortável,I,1,9,108,0.06,3.6K,30,www.flexform.com.br/,2 days
cadeira flexform,NT,4,8,108,0.06,18.1K,31,www.flexform.com.br/institucional/cadeira-de-escritorio/city,Sep 13
cadeira ergonómica,C,2,7,106,0.06,1.3K,28,www.flexform.com.br/,Aug 22
cadeira estudar,C,2,6,106,0.06,1.3K,30,www.flexform.com.br/,Aug 16
cadeira ergonômica para escritório,I,1,8,106,0.06,1.3K,30,www.flexform.com.br/,Sep 01
cadeira ergonomica home office,I,1,7,105,0.06,2.4K,28,www.flexform.com.br/,3 days
cadeira para computador,CI,3,8,105,0.06,4.4K,34,www.flexform.com.br/,Sep 13
deskpad,I,4,7,105,0.06,2.4K,19,www.flexform.com.br/decoracao-e-acessorios/deskpad/deskpad,Aug 19
cadeira presidente de escritório,C,3,6,104,0.06,1.6K,6,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 09
cadeira área gourmet,I,2,9,104,0.06,1.6K,21,www.flexform.com.br/moveis/area-gourmet,Aug 20
all all of me,I,5,2,101,0.06,2.9K,30,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-tecton-all-black,2 days
cadeira de computador,I,3,5,101,0.06,2.9K,24,www.flexform.com.br/,Sep 15
the white lotus,IT,12,8,99,0.06,33.1K,51,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-white-n-green,21 hours
escritorio,CI,12,7,99,0.06,33.1K,31,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Sep 15
sofá 4 lugares,I,1,8,96,0.05,4.4K,15,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,18 hours
cadeira ergonômica home office,CI,1,8,96,0.05,390,23,www.flexform.com.br/,Sep 13
cadeiras para escritorios,I,1,6,95,0.05,720,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 01
cadeira ergonomia,CI,1,7,95,0.05,720,36,www.flexform.com.br/,Sep 13
flexform uni me,I,,7,94,0.05,480,32,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-all-black,4 days
flexform cadeira,NT,2,6,93,0.05,3.6K,31,www.flexform.com.br/,15 hours
sofa 4 lugares,C,4,6,89,0.05,9.9K,15,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,4 days
cadeira flexform promoção,IT,1,7,88,0.05,110,29,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 04
cadeira volare flexform,I,1,7,88,0.05,110,16,www.flexform.com.br/institucional/cadeira-de-escritorio/cadeira-de-escritorio-volare,Jul 29
flexform vagas,T,1,4,88,0.05,110,24,www.flexform.com.br/institucional/trabalhe-conosco,Aug 27
flexform tecton hd,I,1,7,88,0.05,110,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-hd-graphite-n-blk,21 hours
flexform cadeira escritorio,I,1,6,88,0.05,110,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,4 days
mychair,I,1,5,88,0.05,110,20,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/my-chair-all-black,Aug 10
cadeira uni pro flexform,IT,1,8,88,0.05,110,23,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-pro-all-black,Sep 03
flexform flextropic,IT,1,6,88,0.05,110,17,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/flextropic,Aug 16
cadeira escritorio flex form,IT,1,7,88,0.05,110,25,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
cadeira flexform escritório,IT,1,7,88,0.05,110,26,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 27
uni pro flexform,IT,1,7,88,0.05,110,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-pro-all-black,Aug 26
led flexform,I,1,9,88,0.05,110,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-led-all-black-hd,Aug 13
cadeira flexform uni pro,T,1,8,88,0.05,110,18,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-uni-pro-all-black,Sep 04
my chair,I,1,7,88,0.05,110,32,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/my-chair-all-black,Aug 27
flexform volare,I,1,6,88,0.05,110,27,www.flexform.com.br/institucional/cadeira-de-escritorio/cadeira-de-escritorio-volare,Aug 15
flex form dot,I,1,6,88,0.05,110,21,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-graphite,Sep 15
flexform alpha,IT,1,9,88,0.05,110,19,www.flexform.com.br/gaming/alpha-pro/cadeira-gamer-flexform-alpha-pro-all-black,Sep 12
all all of me,I,6,2,87,0.05,2.9K,30,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-all-black,2 days
cadeiras gamer,C,4,7,87,0.05,2.9K,38,www.flexform.com.br/gaming,Aug 25
poltrona escritorio,I,5,7,86,0.05,3.6K,20,www.flexform.com.br/,Sep 15
sofá retrátil 4 lugares,I,3,8,85,0.05,6.6K,15,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,4 days
cadeira escritorio bege,I,1,6,84,0.05,1.3K,19,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-bege,Aug 23
cadeira estudos,IT,3,8,84,0.05,2.4K,23,www.flexform.com.br/,Aug 23
cadeira ergonômica escritório,I,1,8,84,0.05,1.3K,30,www.flexform.com.br/,Aug 25
sofa reclinavel e retratil 4 lugares,I,2,6,84,0.05,2.4K,11,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,Aug 22
sofa 4 lugares reclinavel retratil,C,2,7,84,0.05,2.4K,14,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,Aug 27
sofa 4 lugares retratil,I,1,8,82,0.05,1K,13,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,Aug 20
cadeira em tela,I,1,8,82,0.05,1K,9,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 21
cadeira para escritorio sem braço,I,1,7,82,0.05,1K,9,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 21
cadeira diretor escritorio,I,1,6,82,0.05,1K,8,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 21
cadeira de escritorio fixa,I,1,7,82,0.05,1K,10,www.flexform.com.br/cadeiras/cadeiras-fixas,Aug 25
mesas de escritório,I,1,6,82,0.05,1K,11,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio,Aug 24
cadeira giratória para escritório,I,4,8,79,0.04,3.6K,14,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,4 days
mesa de altura regulável,I,,8,79,0.04,3.6K,17,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio/mesa-tech-desk-max-140-com-regulagem,Sep 13
mesa de altura regulável,I,4,8,79,0.04,3.6K,17,www.flexform.com.br/moveis/escritorio/mesa-de-escritorio/mesa-tech-120-desk-regulagem-eletrica,Sep 13
cadeiras escritorio executivas,C,1,5,79,0.04,320,11,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 03
poltronas e cadeiras para escritorio,C,1,7,79,0.04,320,21,www.flexform.com.br/,Aug 16
cadeiras de escritorio fixas,C,1,6,79,0.04,320,8,www.flexform.com.br/cadeiras/cadeiras-fixas,Aug 31
cadeiras executivas escritorio,C,1,6,79,0.04,320,14,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Aug 14
sofá 4 lugares retrátil,C,,8,79,0.04,3.6K,14,www.flexform.com.br/moveis/sala/sofas/sofa-4-lugares-retratil-cecile,2 days
cadeira games,C,1,7,77,0.04,590,40,www.flexform.com.br/gaming,Aug 18
cadeira de escritorio promoção,C,1,7,77,0.04,590,27,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
cadeira de escritório confortável,I,,8,75,0.04,6.6K,36,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,19 hours
n hentainet,C,16,0,74,0.04,14.8K,36,www.flexform.com.br/cadeiras/cadeiras-de-escritorio/cadeira-dot-white-n-black,1 day
flex form,IN,,9,73,0.04,4.4K,42,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Sep 14
flexform showroom,N,,7,72,0.04,90,38,www.flexform.com.br/,Sep 03
cadeira flexform onde comprar,T,1,6,72,0.04,90,35,www.flexform.com.br/,Aug 16
cadeira giratória flexform,N,1,7,72,0.04,90,29,www.flexform.com.br/cadeiras/cadeiras-de-escritorio,Jul 29
