Select all keywords,Keyword,Intent,Relevance,Related %,Volume,Trend,Pot. Traffic,PKD %,KD %,CPC (BRL),Com.,SF,Results,Updated
mesa escrivaninha,mesa escrivaninha​,C,70,0,"12,100",,n/a,n/a,18,0.57,1.00,7,195,1 month
mesa para pc,mesa para pc​,C,65,0,"12,100",,n/a,n/a,35,0.36,1.00,7,195,1 month
cadeira de escritório ergonômica,cadeira de escritório ergonômica​,C,66,0,"9,900",,n/a,n/a,23,1.45,1.00,8,192,1 month
cadeira ergonômica,cadeira ergonômica​,C,63,0,"9,900",,n/a,n/a,29,1.24,1.00,7,188,1 month
cadeira giratoria,cadeira giratoria​,IC,62,0,"9,900",,n/a,n/a,19,0.98,1.00,8,190,1 month
cadeira para escrivaninha,cadeira para escrivaninha​,IC,70,0,"9,900",,n/a,n/a,26,0.47,1.00,6,225,1 month
cadeiras de escritorio,cadeiras de escritorio​,C,70,0,"9,900",,n/a,n/a,29,1.19,1.00,9,199,1 month
mesa de estudo,mesa de estudo​,I,71,0,"9,900",,n/a,n/a,28,0.31,1.00,7,196,1 month
mesa de vidro,mesa de vidro​,I,67,0,"9,900",,n/a,n/a,21,0.47,1.00,8,191,1 month
mesa escritório,mesa escritório​,C,100,0,"9,900",,n/a,n/a,17,0.98,1.00,7,195,1 month
mesa jantar,mesa jantar​,I,53,0,"9,900",,n/a,n/a,23,0.73,1.00,6,197,1 month
mesa pequena,mesa pequena​,I,65,0,"9,900",,n/a,n/a,28,0.36,1.00,8,227,1 month
penteadeira e escrivaninha,penteadeira e escrivaninha​,I,65,0,"9,900",,n/a,n/a,29,0.36,1.00,4,8,1 month
cadeira escritório presidente,cadeira escritório presidente​,I,66,0,"8,100",,n/a,n/a,21,1.19,1.00,8,203,1 month
cadeira gamer ergonomica,cadeira gamer ergonomica​,IC,54,0,"8,100",,n/a,n/a,30,0.67,1.00,7,156,1 month
cadeiras escritório,cadeiras escritório​,C,71,0,"8,100",,n/a,n/a,27,1.61,1.00,7,196,1 month
mesa com regulagem de altura,mesa com regulagem de altura​,I,57,0,"8,100",,n/a,n/a,17,1.30,1.00,4,10,1 month
mesa de estudos,mesa de estudos​,C,69,0,"8,100",,n/a,n/a,27,0.31,1.00,6,208,1 month
mesa de jantar 6 cadeiras,mesa de jantar 6 cadeiras​,IC,59,0,"8,100",,n/a,n/a,23,0.57,1.00,5,10,1 month
mesa regulagem de altura,mesa regulagem de altura​,IC,55,0,"8,100",,n/a,n/a,14,1.30,1.00,8,193,1 month
moveis para escritorio,moveis para escritorio​,C,64,0,"8,100",,n/a,n/a,23,2.13,1.00,7,199,1 month
armario escritorio,armario escritorio​,C,66,0,"6,600",,n/a,n/a,32,1.14,1.00,7,175,1 month
cadeira de escritório confortável,cadeira de escritório confortável​,C,69,0,"6,600",,n/a,n/a,26,1.55,1.00,7,195,1 month
cadeira ergonomica gamer,cadeira ergonomica gamer​,IC,54,0,"6,600",,n/a,n/a,39,0.57,1.00,9,184,1 month
cadeira escritorio confortavel,cadeira escritorio confortavel​,C,68,0,"6,600",,n/a,n/a,32,0.98,1.00,8,191,1 month
cadeira presidente escritorio,cadeira presidente escritorio​,C,66,0,"6,600",,n/a,n/a,35,1.19,1.00,7,192,1 month
conjunto de mesa com 4 cadeiras,conjunto de mesa com 4 cadeiras​,I,63,0,"6,600",,n/a,n/a,17,0.41,1.00,7,194,1 month
escritorio de mesa,escritorio de mesa​,n/a,76,0,"6,600",,n/a,n/a,n/a,0.88,1.00,n/a,n/a,Refresh
jogo de mesa,jogo de mesa​,IC,62,0,"6,600",,n/a,n/a,20,0.41,0.99,6,196,1 month
mesa 4 cadeiras tampo de vidro,mesa 4 cadeiras tampo de vidro​,IC,63,0,"6,600",,n/a,n/a,23,0.52,1.00,7,193,1 month
mesa 6 cadeiras tampo de vidro,mesa 6 cadeiras tampo de vidro​,I,60,0,"6,600",,n/a,n/a,19,0.62,1.00,6,9,1 month
mesa area externa,mesa area externa​,I,55,0,"6,600",,n/a,n/a,20,0.78,1.00,7,199,1 month
mesa com cadeiras,mesa com cadeiras​,I,66,0,"6,600",,n/a,n/a,18,0.41,1.00,6,195,1 month
mesa de 4 cadeiras,mesa de 4 cadeiras​,I,66,0,"6,600",,n/a,n/a,20,0.41,1.00,7,191,1 month
mesa de 6 cadeiras,mesa de 6 cadeiras​,I,64,0,"6,600",,n/a,n/a,20,0.47,1.00,9,193,1 month
mesa de vidro 4 cadeiras,mesa de vidro 4 cadeiras​,I,64,0,"6,600",,n/a,n/a,20,0.41,1.00,9,187,1 month
mesa em l escritorio,mesa em l escritorio​,C,73,0,"6,600",,n/a,n/a,15,0.88,1.00,6,197,1 month
mesa escritorio em l,mesa escritorio em l​,IC,73,0,"6,600",,n/a,n/a,18,0.88,1.00,6,198,1 month
mesa estudo,mesa estudo​,C,73,0,"6,600",,n/a,n/a,30,0.31,1.00,7,209,1 month
mesa industrie,mesa industrie​,I,48,0,"6,600",,n/a,n/a,24,1.19,1.00,9,191,1 month
mesa jantar 4 lugares,mesa jantar 4 lugares​,I,63,0,"6,600",,n/a,n/a,16,0.62,1.00,4,10,1 month
mesa jantar 6 lugares,mesa jantar 6 lugares​,IC,60,0,"6,600",,n/a,n/a,13,0.67,1.00,7,195,1 month
mesa para area externa,mesa para area externa​,I,62,0,"6,600",,n/a,n/a,21,0.62,1.00,5,108,1 month
mesa para quarto,mesa para quarto​,IT,69,0,"6,600",,n/a,n/a,28,0.31,1.00,8,207,1 month
cadeira de escritório simples,cadeira de escritório simples​,I,73,0,"5,400",,n/a,n/a,24,0.73,1.00,5,194,1 month
cadeira giratória,cadeira giratória​,C,63,0,"5,400",,n/a,n/a,20,0.98,1.00,7,194,1 month
cadeira para escritorio ergonomica,cadeira para escritorio ergonomica​,I,67,0,"5,400",,n/a,n/a,32,1.55,1.00,7,188,1 month
cadeira para escritório,cadeira para escritório​,C,70,0,"5,400",,n/a,n/a,28,1.30,1.00,6,161,1 month
escrivaninha branca,escrivaninha branca​,C,62,0,"5,400",,n/a,n/a,20,0.52,1.00,6,175,1 month
escrivaninha com penteadeira,escrivaninha com penteadeira​,I,61,0,"5,400",,n/a,n/a,25,0.36,1.00,7,219,1 month
escrivaninha para estudo,escrivaninha para estudo​,C,61,0,"5,400",,n/a,n/a,31,0.26,1.00,7,197,1 month
jogo de mesa 4 cadeiras,jogo de mesa 4 cadeiras​,C,61,0,"5,400",,n/a,n/a,24,0.36,1.00,6,193,1 month
mesa de escritorio em l,mesa de escritorio em l​,C,72,0,"5,400",,n/a,n/a,18,0.88,1.00,6,201,1 month
mesa de estudo para quarto,mesa de estudo para quarto​,I,68,0,"5,400",,n/a,n/a,29,0.31,1.00,7,192,1 month
mesa de vidro 6 cadeiras,mesa de vidro 6 cadeiras​,I,63,0,"5,400",,n/a,n/a,24,0.41,1.00,8,193,1 month
mesa em l para escritório,mesa em l para escritório​,C,74,0,"5,400",,n/a,n/a,20,0.83,1.00,5,141,1 month
mesa para escritório,mesa para escritório​,C,88,0,"5,400",,n/a,n/a,22,0.93,1.00,6,152,1 month
mesa para estudo,mesa para estudo​,IC,74,0,"5,400",,n/a,n/a,27,0.31,1.00,8,210,1 month
mesa para pc gamer,mesa para pc gamer​,C,62,0,"5,400",,n/a,n/a,31,0.36,1.00,6,193,1 month
mesa pc,mesa pc​,C,61,0,"5,400",,n/a,n/a,30,0.36,1.00,5,196,1 month
mesa quarto,mesa quarto​,I,67,0,"5,400",,n/a,n/a,31,0.31,1.00,7,199,1 month
mesas de jantar,mesas de jantar​,I,56,0,"5,400",,n/a,n/a,29,0.57,1.00,7,199,1 month
moveis escritorio,moveis escritorio​,C,62,0,"5,400",,n/a,n/a,24,2.16,1.00,8,203,1 month
penteadeira com escrivaninha,penteadeira com escrivaninha​,I,63,0,"5,400",,n/a,n/a,25,0.36,1.00,6,195,1 month
armario para escritorio,armario para escritorio​,C,64,0,"4,400",,n/a,n/a,29,1.03,1.00,6,10,1 month
cadeira branca,cadeira branca​,I,60,0,"4,400",,n/a,n/a,15,0.82,1.00,6,194,1 month
cadeira computador,cadeira computador​,C,71,0,"4,400",,n/a,n/a,23,0.57,1.00,7,201,1 month
cadeira de escritório presidente,cadeira de escritório presidente​,C,64,0,"4,400",,n/a,n/a,28,1.19,1.00,6,193,1 month
cadeira diretor,cadeira diretor​,IC,60,0,"4,400",,n/a,n/a,12,1.49,1.00,6,198,1 month
cadeira escritorio branca,cadeira escritorio branca​,IT,71,0,"4,400",,n/a,n/a,21,1.08,1.00,6,162,1 month
cadeira escrivaninha,cadeira escrivaninha​,I,70,0,"4,400",,n/a,n/a,25,0.46,1.00,6,208,1 month
cadeira game,cadeira game​,C,51,0,"4,400",,n/a,n/a,36,0.93,1.00,7,192,1 month
cadeira para computador,cadeira para computador​,I,68,0,"4,400",,n/a,n/a,27,0.57,1.00,6,196,1 month
cadeira para estudo,cadeira para estudo​,I,66,0,"4,400",,n/a,n/a,22,0.46,1.00,8,201,1 month
cadeiras para escritorio,cadeiras para escritorio​,C,70,0,"4,400",,n/a,n/a,29,1.29,1.00,8,166,1 month
conjunto mesa 4 cadeiras,conjunto mesa 4 cadeiras​,I,65,0,"4,400",,n/a,n/a,18,0.57,1.00,5,10,1 month
escrivania,escrivania​,I,61,0,"4,400",,n/a,n/a,16,0.52,1.00,7,196,1 month
escrivaninha com estante,escrivaninha com estante​,I,64,0,"4,400",,n/a,n/a,25,0.62,1.00,9,197,1 month
escrivaninha madeira,escrivaninha madeira​,C,61,0,"4,400",,n/a,n/a,9,0.72,1.00,5,123,1 month
escrivaninha pequena,escrivaninha pequena​,C,63,0,"4,400",,n/a,n/a,23,0.41,1.00,6,194,1 month
escrivaninha quarto,escrivaninha quarto​,I,60,0,"4,400",,n/a,n/a,21,0.36,1.00,6,195,1 month
jogo de cadeiras,jogo de cadeiras​,IC,57,0,"4,400",,n/a,n/a,21,0.46,1.00,6,198,1 month
kit 4 cadeiras para mesa de jantar,kit 4 cadeiras para mesa de jantar​,I,62,0,"4,400",,n/a,n/a,16,0.36,1.00,7,196,1 month
mesa 4 cadeiras pequena,mesa 4 cadeiras pequena​,I,65,0,"4,400",,n/a,n/a,17,0.36,1.00,6,190,1 month
mesa 4 cadeiras vidro,mesa 4 cadeiras vidro​,I,65,0,"4,400",,n/a,n/a,21,0.52,1.00,7,189,1 month
mesa com tampo de vidro,mesa com tampo de vidro​,I,62,0,"4,400",,n/a,n/a,20,0.57,1.00,7,191,1 month
mesa de 6 lugares,mesa de 6 lugares​,I,58,0,"4,400",,n/a,n/a,19,0.46,1.00,9,190,1 month
mesa de escritório com gaveta,mesa de escritório com gaveta​,I,78,0,"4,400",,n/a,n/a,20,0.72,1.00,7,191,1 month
mesa e 6 cadeiras,mesa e 6 cadeiras​,I,56,0,"4,400",,n/a,n/a,10,0.52,1.00,7,188,1 month
mesa e cadeiras,mesa e cadeiras​,T,62,0,"4,400",,n/a,n/a,22,0.67,1.00,7,197,1 month
mesa home office,mesa home office​,I,68,0,"4,400",,n/a,n/a,23,0.77,1.00,7,195,1 month
mesa industrial escritorio,mesa industrial escritorio​,C,66,0,"4,400",,n/a,n/a,7,0.72,1.00,6,186,1 month
mesa l,mesa l​,C,61,0,"4,400",,n/a,n/a,25,0.62,1.00,6,200,1 month
mesa para compútador gamer,mesa para compútador gamer​,C,66,0,"4,400",,n/a,n/a,34,0.36,1.00,7,191,1 month
mesa para varanda,mesa para varanda​,I,61,0,"4,400",,n/a,n/a,21,0.52,1.00,8,227,1 month
mesa retangular 4 cadeiras,mesa retangular 4 cadeiras​,I,61,0,"4,400",,n/a,n/a,28,0.52,1.00,7,195,1 month
mesa sala de jantar,mesa sala de jantar​,I,61,0,"4,400",,n/a,n/a,29,0.62,1.00,7,198,1 month
mesa tampo de vidro 4 cadeiras,mesa tampo de vidro 4 cadeiras​,I,68,0,"4,400",,n/a,n/a,22,0.52,1.00,8,193,1 month
mesa varanda,mesa varanda​,I,55,0,"4,400",,n/a,n/a,23,0.52,1.00,6,192,1 month
mesas e cadeiras,mesas e cadeiras​,I,61,0,"4,400",,n/a,n/a,18,0.72,1.00,7,194,1 month
mesas gamer,mesas gamer​,C,58,0,"4,400",,n/a,n/a,27,0.41,1.00,7,198,1 month
moveis de escritorio,moveis de escritorio​,C,65,0,"4,400",,n/a,n/a,23,2.32,1.00,8,205,1 month
armario de escritorio,armario de escritorio​,C,66,0,"3,600",,n/a,n/a,16,1.13,1.00,7,176,1 month
cadeira confortável,cadeira confortável​,I,59,0,"3,600",,n/a,n/a,31,0.57,1.00,8,194,1 month
cadeira do presidente,cadeira do presidente​,I,57,0,"3,600",,n/a,n/a,9,1.03,1.00,8,193,1 month
cadeira ergonômica para coluna,cadeira ergonômica para coluna​,C,51,0,"3,600",,n/a,n/a,14,0.00,0.00,8,177,1 month
cadeira escritorio presidente,cadeira escritorio presidente​,I,67,0,"3,600",,n/a,n/a,10,1.19,1.00,9,194,1 month
cadeira escritório simples,cadeira escritório simples​,I,72,0,"3,600",,n/a,n/a,22,0.82,1.00,5,198,1 month
cadeira executiva,cadeira executiva​,I,60,0,"3,600",,n/a,n/a,9,1.34,1.00,5,10,1 month
cadeira giratória escritório,cadeira giratória escritório​,I,70,0,"3,600",,n/a,n/a,21,1.13,1.00,7,158,1 month
cadeira giratória para escritório,cadeira giratória para escritório​,I,69,0,"3,600",,n/a,n/a,16,1.13,1.00,5,n/a,1 month
cadeira home office,cadeira home office​,C,60,0,"3,600",,n/a,n/a,27,0.77,1.00,7,195,1 month
cadeira ortopédica,cadeira ortopédica​,C,59,0,"3,600",,n/a,n/a,21,0.00,0.00,6,176,1 month
cadeira para escritorio presidente,cadeira para escritorio presidente​,C,61,0,"3,600",,n/a,n/a,19,1.19,1.00,9,194,1 month
cadeira secretaria,cadeira secretaria​,C,68,0,"3,600",,n/a,n/a,21,1.39,1.00,5,158,1 month
cadeiras ergonomicas,cadeiras ergonomicas​,C,59,0,"3,600",,n/a,n/a,20,0.98,1.00,6,186,1 month
cadeiras para gamers,cadeiras para gamers​,IC,53,0,"3,600",,n/a,n/a,37,0.93,1.00,7,197,1 month
conjunto de mesa com 6 cadeiras,conjunto de mesa com 6 cadeiras​,I,60,0,"3,600",,n/a,n/a,11,0.52,1.00,7,192,1 month
dt3 cadeiras,dt3 cadeiras​,TN,49,0,"3,600",,n/a,n/a,41,0.46,1.00,7,233,1 month
ergonômica,ergonômica​,I,39,0,"3,600",,n/a,n/a,17,1.55,0.05,8,182,1 month
escritorio movel,escritorio movel​,I,61,0,"3,600",,n/a,n/a,22,2.22,1.00,7,160,1 month
escrivaninha com gaveta,escrivaninha com gaveta​,I,62,0,"3,600",,n/a,n/a,24,0.52,1.00,9,213,1 month
escrivaninha de canto,escrivaninha de canto​,I,59,0,"3,600",,n/a,n/a,22,0.46,1.00,6,183,1 month
escrivaninha escritorio,escrivaninha escritorio​,I,70,0,"3,600",,n/a,n/a,21,0.77,1.00,7,196,1 month
escrivaninha suspensa,escrivaninha suspensa​,I,61,0,"3,600",,n/a,n/a,21,0.41,1.00,7,192,1 month
jogo de mesa 6 cadeiras,jogo de mesa 6 cadeiras​,I,56,0,"3,600",,n/a,n/a,19,0.46,1.00,7,191,1 month
jogo de mesa com 6 cadeiras,jogo de mesa com 6 cadeiras​,I,54,0,"3,600",,n/a,n/a,14,0.46,1.00,7,194,1 month
mesa 4 cadeiras retangular,mesa 4 cadeiras retangular​,I,60,0,"3,600",,n/a,n/a,21,0.52,1.00,7,195,1 month
mesa com quatro cadeiras,mesa com quatro cadeiras​,I,66,0,"3,600",,n/a,n/a,21,0.41,1.00,7,192,1 month
mesa de jantar com 6 cadeiras em promoção,mesa de jantar com 6 cadeiras em promoção​,I,59,0,"3,600",,n/a,n/a,18,0.46,1.00,6,202,1 month
mesa de sala,mesa de sala​,I,67,0,"3,600",,n/a,n/a,25,0.57,1.00,7,191,1 month
mesa de vidro com 6 cadeiras,mesa de vidro com 6 cadeiras​,I,59,0,"3,600",,n/a,n/a,23,0.41,1.00,7,197,1 month
mesa em l gamer,mesa em l gamer​,I,57,0,"3,600",,n/a,n/a,24,0.41,1.00,6,219,1 month
mesa escritório com gaveta,mesa escritório com gaveta​,I,76,0,"3,600",,n/a,n/a,15,0.77,1.00,6,194,1 month
mesa estilo industrial,mesa estilo industrial​,I,61,0,"3,600",,n/a,n/a,19,0.46,1.00,6,191,1 month
mesa gamer em l,mesa gamer em l​,I,54,0,"3,600",,n/a,n/a,23,0.46,1.00,6,220,1 month
mesa gamer grande,mesa gamer grande​,I,55,0,"3,600",,n/a,n/a,34,0.41,1.00,9,197,1 month
mesa para escritorio em l,mesa para escritorio em l​,IC,70,0,"3,600",,n/a,n/a,11,0.88,1.00,6,198,1 month
mesa para escritório com gaveta,mesa para escritório com gaveta​,I,79,0,"3,600",,n/a,n/a,21,0.72,1.00,6,198,1 month
mesa para escritório em l,mesa para escritório em l​,C,71,0,"3,600",,n/a,n/a,11,0.82,1.00,8,192,1 month
mesa para sala de jantar,mesa para sala de jantar​,I,63,0,"3,600",,n/a,n/a,29,0.62,1.00,8,191,1 month
mesa tampo de vidro,mesa tampo de vidro​,I,63,0,"3,600",,n/a,n/a,15,0.57,1.00,8,199,1 month
mesas escritorio,mesas escritorio​,C,84,0,"3,600",,n/a,n/a,16,0.98,1.00,5,199,1 month
mesinha de canto da sala,mesinha de canto da sala​,I,61,0,"3,600",,n/a,n/a,14,0.31,1.00,7,196,1 month
mesinha para notebook,mesinha para notebook​,C,63,0,"3,600",,n/a,n/a,32,0.31,1.00,6,201,1 month
poltrona escritorio,poltrona escritorio​,C,66,0,"3,600",,n/a,n/a,27,1.19,1.00,6,10,1 month
cadeira branca escritorio,cadeira branca escritorio​,IT,65,0,"2,900",,n/a,n/a,19,0.98,1.00,6,180,1 month
cadeira de computador,cadeira de computador​,C,66,0,"2,900",,n/a,n/a,28,0.57,1.00,6,197,1 month
cadeira de escritorio branca,cadeira de escritorio branca​,IC,69,0,"2,900",,n/a,n/a,24,0.88,1.00,5,154,1 month
cadeira de escritorio simples,cadeira de escritorio simples​,I,73,0,"2,900",,n/a,n/a,24,0.72,1.00,6,201,1 month
cadeira de estudo,cadeira de estudo​,C,63,0,"2,900",,n/a,n/a,23,0.46,1.00,7,202,1 month
cadeira de gamer,cadeira de gamer​,C,59,0,"2,900",,n/a,n/a,36,0.46,1.00,7,195,1 month
cadeira ergometrica,cadeira ergometrica​,I,57,0,"2,900",,n/a,n/a,25,1.13,1.00,7,187,1 month
cadeira ergonomica home office,cadeira ergonomica home office​,I,60,0,"2,900",,n/a,n/a,21,1.24,1.00,8,194,1 month
cadeira ergonomica presidente,cadeira ergonomica presidente​,I,59,0,"2,900",,n/a,n/a,19,1.08,1.00,8,189,1 month
cadeira ergonômica gamer,cadeira ergonômica gamer​,C,52,0,"2,900",,n/a,n/a,24,0.62,1.00,8,183,1 month
cadeira gamer branca,cadeira gamer branca​,I,57,0,"2,900",,n/a,n/a,21,0.46,1.00,7,181,1 month
cadeira office,cadeira office​,C,55,0,"2,900",,n/a,n/a,21,1.34,1.00,7,192,1 month
cadeira pra jogar por horas,cadeira pra jogar por horas​,IC,53,0,"2,900",,n/a,n/a,35,0.00,1.00,5,183,1 month
cadeira presidente ergonômica,cadeira presidente ergonômica​,C,59,0,"2,900",,n/a,n/a,24,1.09,1.00,8,166,1 month
cadeira simples de escritorio,cadeira simples de escritorio​,IC,68,0,"2,900",,n/a,n/a,27,0.73,1.00,7,208,1 month
cadeiras gamer,cadeiras gamer​,C,50,0,"2,900",,n/a,n/a,27,0.93,1.00,6,188,1 month
conjunto mesa de jantar,conjunto mesa de jantar​,I,61,0,"2,900",,n/a,n/a,14,0.83,1.00,6,196,1 month
escrivaninha computador,escrivaninha computador​,C,63,0,"2,900",,n/a,n/a,31,0.41,1.00,9,192,1 month
escrivaninha de madeira,escrivaninha de madeira​,I,59,0,"2,900",,n/a,n/a,7,0.57,1.00,6,192,1 month
escrivaninha estudo,escrivaninha estudo​,I,65,0,"2,900",,n/a,n/a,32,0.31,1.00,6,220,1 month
escrivaninha para computador,escrivaninha para computador​,IT,62,0,"2,900",,n/a,n/a,32,0.41,1.00,8,180,1 month
estação de trabalho,estação de trabalho​,IC,58,0,"2,900",,n/a,n/a,17,2.33,1.00,6,91,1 month
mesa 2 lugares,mesa 2 lugares​,IC,59,0,"2,900",,n/a,n/a,24,0.47,1.00,7,246,1 month
mesa 4 cadeira retangular,mesa 4 cadeira retangular​,C,62,0,"2,900",,n/a,n/a,17,0.57,1.00,6,192,1 month
mesa com 4 cadeiras barata,mesa com 4 cadeiras barata​,I,64,0,"2,900",,n/a,n/a,30,0.31,1.00,8,202,1 month
mesa com 6 cadeiras de vidro,mesa com 6 cadeiras de vidro​,I,61,0,"2,900",,n/a,n/a,19,0.41,1.00,8,194,1 month
mesa com cadeira,mesa com cadeira​,I,68,0,"2,900",,n/a,n/a,15,0.41,1.00,6,190,1 month
mesa de 4 lugares,mesa de 4 lugares​,C,63,0,"2,900",,n/a,n/a,18,0.47,1.00,7,197,1 month
mesa de altura regulável,mesa de altura regulável​,I,56,0,"2,900",,n/a,n/a,21,1.30,1.00,7,196,1 month
mesa de escritório em l,mesa de escritório em l​,C,73,0,"2,900",,n/a,n/a,26,0.88,1.00,5,198,1 month
mesa de estudos para quarto,mesa de estudos para quarto​,IC,70,0,"2,900",,n/a,n/a,28,0.31,1.00,7,187,1 month
mesa de jantar 4 lugares para apartamento pequeno,mesa de jantar 4 lugares para apartamento pequeno​,I,62,0,"2,900",,n/a,n/a,24,0.47,1.00,6,9,1 month
mesa de jardim,mesa de jardim​,IC,63,0,"2,900",,n/a,n/a,23,0.52,1.00,7,192,1 month
mesa de reunião,mesa de reunião​,I,66,0,"2,900",,n/a,n/a,9,1.87,1.00,8,181,1 month
mesa de sala jantar,mesa de sala jantar​,I,65,0,"2,900",,n/a,n/a,28,0.62,1.00,7,188,1 month
mesa de trabalho,mesa de trabalho​,I,78,0,"2,900",,n/a,n/a,22,1.30,1.00,7,198,1 month
mesa e cadeira,mesa e cadeira​,I,66,0,"2,900",,n/a,n/a,14,0.73,1.00,7,133,1 month
mesa escritorio industrial,mesa escritorio industrial​,C,68,0,"2,900",,n/a,n/a,12,0.93,1.00,6,195,1 month
mesa estudos,mesa estudos​,C,71,0,"2,900",,n/a,n/a,31,0.31,1.00,6,212,1 month
mesa gamer],mesa gamer]​,C,58,0,"2,900",,n/a,n/a,25,0.41,1.00,5,194,1 month
mesa industrial jantar,mesa industrial jantar​,I,56,0,"2,900",,n/a,n/a,24,0.62,1.00,7,192,1 month
