Keyword,Intent,Position,SF,Traffic,Traffic %,Volume,KD %,URL,Updated
cadeira ergonomica escritório,I,8,7,108,0.14,12.1K,33,dt3.com/cadeira-ergonomica,Sep 13
cadeira ergométrica,C,2,7,101,0.13,2.9K,34,dt3.com/cadeira-ergonomica,Aug 25
cadeira ergometrica,I,3,7,101,0.13,2.9K,25,dt3.com/cadeira-ergonomica,Aug 07
rhino dt3,CI,1,6,88,0.11,110,21,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-rhino,Aug 12
dt3 gx,IT,1,7,88,0.11,110,25,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-gx,Jul 28
cadeira dt3 vitta,C,1,6,88,0.11,110,31,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 28
dt3 ergonomica,IT,1,7,88,0.11,110,18,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 28
cadeira dt3 royce,IT,1,7,88,0.11,110,18,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-royce,Aug 28
cadeira de escritorio dt3,IT,1,7,88,0.11,110,21,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Sep 04
cadeira escritorio dt3,IT,1,5,88,0.11,110,24,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Aug 04
cadeira dt3 moira,IT,1,9,88,0.11,110,18,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-moira,Sep 12
dt3 ergo one,I,1,7,88,0.11,110,22,dt3.com/produtos/cadeira-ergonomica-dt3-ergoone,Sep 05
dt3 vita headrest,CI,1,7,88,0.11,110,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 02
cadeira gamer dt3 nero,T,1,8,88,0.11,110,33,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Aug 28
mesa dt3 f40,I,1,10,88,0.11,110,30,dt3.com/produtos/mesa-comregulagem-dealtura-dt3-f-40,3 days
dt3 f40,IN,1,8,88,0.11,110,21,dt3.com/produtos/mesa-comregulagem-dealtura-dt3-f-40,Aug 07
cadeira dt3 office,IT,1,7,88,0.11,110,18,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Sep 04
dt3 heroica,IT,1,6,88,0.11,110,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-heroica,14 hours
cadeira gamer ergonômica dt3,CN,1,6,88,0.11,110,24,dt3.com/,4 days
cadeira dt3 n10,IT,1,7,88,0.11,110,31,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-n10,Sep 06
cadeira gamer dt3 elise,IT,1,9,88,0.11,110,24,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-elise,Aug 09
azzera,I,2,7,84,0.11,1.3K,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-azzera,Aug 20
cadeira escritorio ergonomica,I,3,7,83,0.11,1.9K,27,dt3.com/cadeira-ergonomica,Aug 07
cadeiras ergonômicas,IT,1,8,82,0.10,1K,26,dt3.com/cadeira-ergonomica,Sep 11
cadeiras ergonomica,C,1,8,82,0.10,1K,30,dt3.com/cadeira-ergonomica,Jul 30
dt3 vita,IT,4,9,74,0.09,14.8K,23,dt3.com/reposicao/modelos/vita,4 days
gabinete dt3 hyper,I,1,7,72,0.09,90,20,dt3.com/produtos/gabinete-gamer-dt3-hyper,Aug 20
cadeira dt3 nero xl,C,1,8,72,0.09,90,17,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Aug 30
cadeira dt3 helora,I,1,8,72,0.09,90,19,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-helora1,Sep 06
cadeira de escritório dt3 vita,CI,1,7,72,0.09,90,34,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Sep 02
cadeira dt3 alera,IT,1,8,72,0.09,90,25,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Aug 29
d3 cadeira,CN,1,5,72,0.09,90,36,dt3.com/,Aug 05
cadeira dt3 frost,I,1,9,72,0.09,90,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-frost,Sep 05
dt3 sports cadeira,IT,1,9,72,0.09,90,17,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,Sep 06
dt3 chronos,I,1,7,72,0.09,90,30,dt3.com/produtos/cadeira-gamer-dt3-chrono,Aug 19
cadeira gamer dt3 gx,I,1,8,72,0.09,90,27,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-gx,Sep 06
dt3 dolly,I,1,8,72,0.09,90,27,dt3.com/produtos/cadeiradt3-dolly,16 hours
cadeira dt3 chrono,I,1,7,72,0.09,90,23,dt3.com/produtos/cadeira-gamer-dt3-chrono,Aug 10
cadeira dt3 office vita,C,1,7,72,0.09,90,27,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 17
dt3 hyper,IT,1,7,72,0.09,90,28,dt3.com/produtos/gabinete-gamer-dt3-hyper,Aug 11
dt3 cadeira,IT,2,6,64,0.08,3.6K,21,dt3.com/cadeira-ergonomica/cadeira-gamer-ergonomica,3 days
cadeira helora,I,1,9,64,0.08,260,22,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-helora1,Aug 20
vita super,I,1,8,63,0.08,480,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Aug 31
cadeira gamer dt3,IT,2,7,62,0.08,2.4K,24,dt3.com/,Aug 17
cadeira dt3 vita,C,1,8,62,0.08,2.4K,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita,Aug 20
cadeira para escritorio ergonomica,I,4,9,59,0.07,6.6K,27,dt3.com/cadeira-ergonomica,4 days
cadeira ergonomie,I,1,8,52,0.06,210,26,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Aug 26
dt3 cadeira,IT,3,6,50,0.06,3.6K,21,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,3 days
dt3. vita,I,4,6,48,0.06,1.6K,25,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Jul 31
cadeira braço d4,CI,1,8,42,0.05,170,16,dt3.com/produtos/cadeirade-escritorio-ergonomicadt3-ergonomie4d,Sep 06
cadeiras ergo,C,1,7,42,0.05,170,21,dt3.com/cadeira-ergonomica,4 days
cadeira ergonomica para pessoas altas,CI,1,6,42,0.05,170,11,dt3.com/cadeira-ergonomica/perfil-corporal/cadeira-para-pessoas-altas,Aug 16
nero v2 dt3,I,,7,41,0.05,210,21,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Aug 27
dt3 diana,I,2,8,41,0.05,1.6K,28,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-dianaplus,Aug 26
ergonomica,I,4,7,41,0.05,1.9K,21,dt3.com/cadeira-ergonomica,Aug 24
cadeira gamer dt3 nvidia,C,,6,41,0.05,210,26,dt3.com/produtos/nvidia/,Aug 06
cadeiras ergonomicas escritorio,C,2,8,39,0.05,480,36,dt3.com/cadeira-ergonomica,Jul 28
dt3 vita,IT,5,9,38,0.05,14.8K,23,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-vita-sports,4 days
cadeira alera,I,1,9,34,0.04,140,21,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Aug 24
cadeira ergonomica dt3,IT,2,8,33,0.04,1.3K,31,dt3.com/cadeira-ergonomica,Aug 20
cadeira gamer flamengo,CI,2,6,31,0.04,390,21,dt3.com/produtos/cadeira-gamer-dt3-elise-flamengo,Sep 05
poltrona ergonomica,C,2,7,31,0.04,480,18,dt3.com/cadeira-ergonomica,Jul 30
cadeira egonomica,C,4,7,30,0.04,880,27,dt3.com/cadeira-ergonomica,Sep 01
cadeiras de escritório ergonômicas,C,5,7,30,0.04,1.6K,30,dt3.com/cadeira-ergonomica,Aug 19
cadeira diana,I,,9,29,0.03,5.4K,23,dt3.com/produtos/cadeira-de-ergonomica-dt3-diana,2 days
melhor cadeira para gamer,C,,8,29,0.03,480,24,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-elise/,Aug 31
ergonomie,I,1,8,27,0.03,210,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-ergonomie,Sep 05
cadeira maya,CI,1,9,27,0.03,210,17,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-maya,Sep 06
nero xl,I,1,8,27,0.03,110,9,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-nero,Jul 29
alera,I,1,7,26,0.03,320,21,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Sep 12
cadeiradiana,I,,9,25,0.03,4.4K,30,dt3.com/produtos/cadeira-de-ergonomica-dt3-diana,3 days
cadeira ergonomica mesh,C,3,6,25,0.03,590,13,dt3.com/cadeira-ergonomica/cadeira-de-escritorio-ergonomica,Jul 29
cadeira ortopedica,I,2,7,24,0.03,1K,28,dt3.com/cadeira-ergonomica,Aug 20
cadeira gamer dt3,IT,4,7,24,0.03,2.4K,24,dt3.com/cadeira-ergonomica,Aug 17
cadeira ergometrica escritorio,C,4,6,24,0.03,1K,26,dt3.com/cadeira-ergonomica,Aug 17
cadeira dt3 gamer,T,2,7,23,0.03,1.3K,23,dt3.com/,Aug 21
cadeira rhino,CI,1,7,22,0.02,90,9,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-rhino,Jul 30
cadeira para pessoas altas,I,1,7,22,0.02,170,15,dt3.com/cadeira-ergonomica/perfil-corporal/cadeira-para-pessoas-altas,Sep 14
cadeiras ergonomicas de escritorio,I,5,7,22,0.02,1K,26,dt3.com/cadeira-ergonomica,Aug 22
dt3 cadeira,IT,5,6,21,0.02,3.6K,21,dt3.com/cadeira-ergonomica,3 days
dt3 cadeira,IT,6,6,21,0.02,3.6K,21,dt3.com/produtos/cadeira-dt3-elin,3 days
cadeira flam,I,2,9,21,0.02,260,20,dt3.com/produtos/cadeira-gamer-dt3-elise-flamengo,Aug 02
cadeiras de escritorio ergonomica,C,4,9,20,0.02,1.6K,30,dt3.com/cadeira-ergonomica,Aug 21
cadeira ergonimica,C,4,7,20,0.02,590,35,dt3.com/cadeira-ergonomica,Sep 07
cadeira gamer ergonômica,I,4,7,19,0.02,1K,21,dt3.com/,Aug 26
helora,I,1,6,18,0.02,140,29,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-helora1,Sep 06
cadeira ergonomica promoção,C,1,6,18,0.02,140,19,dt3.com/cadeira-ergonomica,Aug 16
alera da dt3,I,1,8,18,0.02,720,23,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-alera,Aug 25
cadeira gamer 200kg,C,2,7,17,0.02,590,24,dt3.com/,Aug 08
cadeira ergonomica escritorio,C,5,9,17,0.02,1.9K,21,dt3.com/cadeira-ergonomica,Aug 20
cadeira de escritório ergonomica,CI,4,6,16,0.02,480,24,dt3.com/cadeira-ergonomica,Jul 27
cadeira flam,I,,9,16,0.02,260,20,dt3.com/produtos/cadeira-gamer-dt3-elise-flamengo/,Aug 02
super bel,I,13,6,16,0.02,5.4K,35,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,21 hours
poltrona com apoio de pé,I,,7,16,0.02,260,20,dt3.com/produtos/poltrona-dt3-bossa/,Sep 14
cadeira dt3 vita super,IT,1,7,15,0.02,590,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Aug 29
dt3sports,N,2,3,15,0.02,590,32,dt3.com/,Aug 31
cadeira estudar,C,,6,15,0.02,1.3K,30,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-valor/,Aug 16
azul celeste,I,25,11,15,0.02,22.2K,37,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-celeste,21 hours
qual a melhor cadeira gamer,C,,8,15,0.02,260,26,dt3.com/produtos/cadeira-gamer-ergonomica-dt3-elise/?variant=947285085&pf=mc,Sep 02
ergonomie home,I,1,7,14,0.01,110,25,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-ergonomiehome,Sep 04
dt3 vita,IT,8,9,14,0.01,14.8K,23,dt3.com/,4 days
cadeira gamer para pessoas altas,I,1,8,14,0.01,110,16,dt3.com/cadeira-ergonomica/perfil-corporal/cadeira-para-pessoas-altas,Aug 28
dt3. vita,I,8,6,14,0.01,1.6K,25,dt3.com/reposicao/modelos/vita-sports,Jul 31
dt3 ergonomie,C,3,7,14,0.01,2.4K,24,dt3.com/produtos/cadeirade-escritorio-ergonomicadt3-ergonomie4d,Aug 13
dt3 ergonomie,C,4,7,14,0.01,2.4K,24,dt3.com/,Aug 13
dt3 ergonomie,C,5,7,14,0.01,2.4K,24,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-ergonomiehome,Aug 13
cadeira ergomica,C,6,6,14,0.01,480,16,dt3.com/cadeira-ergonomica,Jul 31
cadeira ergonomic,IT,2,8,13,0.01,170,23,dt3.com/cadeira-ergonomica,Sep 05
super show,I,16,4,13,0.01,4.4K,34,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,2 days
cadeira egornomica,C,3,7,13,0.01,390,17,dt3.com/cadeira-ergonomica,Sep 13
braco cadeira gamer,I,,8,13,0.01,320,16,dt3.com/produtos/kit-bracos-dt3-gts-gto-e-gtx/,Aug 07
cadeira ergonomia,CI,4,7,13,0.01,720,36,dt3.com/,Sep 13
braços cadeira gamer,CI,,6,13,0.01,320,24,dt3.com/produtos/kit-bracos-dt3-gts-gto-e-gtx/,Aug 15
cadeira dt3 ergonomica,IT,2,7,12,0.01,480,24,dt3.com/cadeira-ergonomica,Aug 29
dt3 helora,IT,4,6,12,0.01,880,36,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-helora,Sep 03
dt3 alera,I,4,7,12,0.01,880,25,dt3.com/produtos/alera-sports/,Aug 21
ergonomie,I,,8,12,0.01,210,23,dt3.com/produtos/cadeiradeescritorio-ergonomica-dt3-ergonomiehome,Sep 05
cupom dt3,T,,8,12,0.01,210,15,dt3.com/,Aug 12
cadeira gamer dt3,IT,,7,12,0.01,2.4K,24,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-valor/,Aug 17
cadeira dt3 vita,C,5,8,12,0.01,2.4K,28,dt3.com/produtos/cadeira-de-escritorio-ergonomica-dt3-vita-super,Aug 20
alera da dt3,I,2,8,12,0.01,720,23,dt3.com/produtos/alera-sports,Aug 25
vivanve,I,,5,12,0.01,210,37,dt3.com/produtos/cadeira-ergonomica-presidente-dt3-vivance,1 day
cadeira para escritório ergonomica,C,7,5,11,0.01,480,19,dt3.com/cadeira-ergonomica,Jul 28
cadeira ergonômico,C,2,8,11,0.01,170,21,dt3.com/cadeira-ergonomica,Aug 06
ergo one,CI,2,9,11,0.01,90,12,dt3.com/produtos/cadeira-ergonomica-dt3-ergoone,Sep 05
cadeira xl,C,2,6,11,0.01,140,11,dt3.com/produtos/cadeira-dt3-valor-xl,4 days
